playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
6.471 0.25 0.28 0.65 0.554644 -4.24391e-06 0.62392  2.12266e-09  0.000576891  -1.2469e-08     -1.57133 -3.96057e-05      1.57069     0.785397
6.472 0.25 0.28 0.65 0.554644 -4.26998e-06 0.623916  1.74981e-07  0.000579471    1.639e-07     -1.57133 -3.99153e-05      1.57069     0.785398
6.473 0.25 0.28 0.65 0.554646 -4.3006e-06 0.623911  3.49289e-07  0.000583736  3.40601e-07     -1.57134 -4.02778e-05      1.57069     0.785398
6.474 0.25 0.28 0.65 0.554647 -4.33361e-06 0.623905  5.23687e-07  0.000588787  5.16202e-07     -1.57134 -4.06585e-05      1.57069     0.785398
6.475 0.25 0.28 0.65 0.554649 -4.3675e-06 0.623899  6.98337e-07  0.000594197  6.91279e-07     -1.57135 -4.10473e-05      1.57069     0.785399
6.476 0.25 0.28 0.65 0.55465 -4.40107e-06 0.623892  8.73733e-07  0.000599768  8.66666e-07     -1.57136 -4.14397e-05      1.57069     0.785399
6.477 0.25 0.28 0.65 0.554652 -4.43353e-06 0.623886  1.05029e-06  0.000605408    1.043e-06     -1.57137 -4.18337e-05      1.57069       0.7854
6.478 0.25 0.28 0.65 0.554653 -4.46441e-06 0.623879  1.22826e-06  0.000611077  1.22066e-06     -1.57137 -4.22285e-05      1.57069       0.7854
6.479 0.25 0.28 0.65 0.554655 -4.49347e-06 0.623873  1.40782e-06  0.000616754  1.39988e-06     -1.57138 -4.26237e-05      1.57069       0.7854
6.48 0.25 0.28 0.65 0.554657 -4.52057e-06 0.623866 1.58903e-06 0.000622432 1.58078e-06    -1.57139 -4.3019e-05     1.57069    0.785401
6.481 0.25 0.28 0.65 0.554658 -4.54564e-06 0.62386  1.77195e-06  0.000628106  1.76341e-06     -1.57139 -4.34144e-05      1.57069     0.785401
6.482 0.25 0.28 0.65 0.55466 -4.56865e-06 0.623853   1.9566e-06  0.000633775  1.94782e-06      -1.5714 -4.38098e-05      1.57068     0.785401
6.483 0.25 0.28 0.65 0.554661 -4.58959e-06 0.623847  2.14298e-06  0.000639438  2.13401e-06     -1.57141 -4.42052e-05      1.57068     0.785402
6.484 0.25 0.28 0.65 0.554663 -4.60844e-06 0.62384   2.3311e-06  0.000645095  2.32199e-06     -1.57142 -4.46005e-05      1.57068     0.785402
6.485 0.25 0.28 0.65 0.554665 -4.6252e-06 0.623834  2.52096e-06  0.000650744  2.51176e-06     -1.57142 -4.49959e-05      1.57068     0.785402
6.486 0.25 0.28 0.65 0.554666 -4.63988e-06 0.623827  2.71257e-06  0.000656387  2.70332e-06     -1.57143 -4.53913e-05      1.57068     0.785403
6.487 0.25 0.28 0.65 0.554668 -4.65247e-06 0.62382  2.90592e-06  0.000662023  2.89668e-06     -1.57144 -4.57867e-05      1.57068     0.785403
6.488 0.25 0.28 0.65 0.554669 -4.66298e-06 0.623814 3.10101e-06 0.000667653 3.09183e-06    -1.57144 -4.6182e-05     1.57068    0.785404
