playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
8.99 0.25 0.28 0.65 0.554642 -4.2431e-06 0.623922  3.43724e-09  0.000577062 -1.09211e-08     -1.57132 -3.96124e-05      1.57068     0.785398
8.991 0.25 0.28 0.65 0.554643 -4.26908e-06 0.623918  1.8709e-07 0.000576636 3.13409e-07    -1.57132 -3.9548e-05     1.57068    0.785399
8.992 0.25 0.28 0.65 0.554644 -4.29876e-06 0.623913  7.37804e-07  0.000575359  1.28596e-06     -1.57132 -3.93546e-05      1.57068       0.7854
8.993 0.25 0.28 0.65 0.554646 -4.32591e-06 0.623907  1.65521e-06  0.000573231   2.9061e-06     -1.57132 -3.90325e-05      1.57068     0.785403
8.994 0.25 0.28 0.65 0.554647 -4.34352e-06 0.623901  2.93895e-06  0.000570253  5.17316e-06     -1.57133 -3.85817e-05      1.57067     0.785406
8.995 0.25 0.28 0.65 0.554649 -4.34436e-06 0.623895  4.58864e-06  0.000566426  8.08651e-06     -1.57133 -3.80025e-05      1.57067      0.78541
8.996 0.25 0.28 0.65 0.55465 -4.32144e-06 0.623889  6.60392e-06  0.000561751  1.16455e-05     -1.57133 -3.72948e-05      1.57067     0.785416
8.997 0.25 0.28 0.65 0.554652 -4.26808e-06 0.623883 8.98443e-06 0.000556228 1.58494e-05    -1.57134 -3.6459e-05     1.57067    0.785422
8.998 0.25 0.28 0.65 0.554653 -4.17784e-06 0.623876 1.17298e-05  0.00054986 2.06977e-05    -1.57134 -3.5495e-05     1.57067     0.78543
8.999 0.25 0.28 0.65 0.554655 -4.04446e-06 0.62387  1.48396e-05  0.000542645  2.61897e-05     -1.57135 -3.44031e-05      1.57067     0.785438
9 0.25 0.28 0.65 0.554656 -3.86183e-06 0.623864  1.83136e-05  0.000534587  3.23247e-05     -1.57135 -3.31832e-05      1.57066     0.785447
9.001 0.25 0.28 0.65 0.554657 -3.62395e-06 0.623858  2.21513e-05  0.000525684  3.91021e-05     -1.57136 -3.18357e-05      1.57066     0.785457
9.002 0.25 0.28 0.65 0.554659 -3.32491e-06 0.623853  2.63525e-05  0.000515938  4.65212e-05     -1.57136 -3.03606e-05      1.57066     0.785469
9.003 0.25 0.28 0.65 0.55466 -2.95888e-06 0.623847 3.09166e-05  0.00050535 5.45815e-05    -1.57137 -2.8758e-05     1.57065    0.785481
9.004 0.25 0.28 0.65 0.554661 -2.52011e-06 0.623841  3.58434e-05  0.000493921  6.32821e-05     -1.57138 -2.70281e-05      1.57065     0.785494
