playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
8.365 0.25 0.28 0.65 0.554646 -4.245e-06 0.623918   1.8675e-10  0.000576639 -1.46967e-08     -1.57134 -3.95951e-05      1.57071     0.785398
8.366 0.25 0.28 0.65 0.554647 -4.27117e-06 0.623914  1.72941e-07  0.000579207  1.61524e-07     -1.57134 -3.99043e-05      1.57071     0.785399
8.367 0.25 0.28 0.65 0.554648 -4.30183e-06 0.623909  3.47206e-07  0.000583465  3.38171e-07     -1.57135 -4.02667e-05      1.57071     0.785399
8.368 0.25 0.28 0.65 0.554649 -4.33485e-06 0.623903  5.21591e-07  0.000588513  5.13759e-07     -1.57135 -4.06474e-05      1.57071     0.785399
8.369 0.25 0.28 0.65 0.554651 -4.36874e-06 0.623897  6.96239e-07  0.000593922  6.88834e-07     -1.57136 -4.10361e-05      1.57071       0.7854
8.37 0.25 0.28 0.65 0.554652 -4.4023e-06 0.62389  8.71636e-07  0.000599492  8.64223e-07     -1.57137 -4.14285e-05      1.57071       0.7854
8.371 0.25 0.28 0.65 0.554654 -4.43476e-06 0.623884  1.04819e-06  0.000605132  1.04055e-06     -1.57138 -4.18225e-05      1.57071       0.7854
8.372 0.25 0.28 0.65 0.554656 -4.46564e-06 0.623877  1.22617e-06    0.0006108  1.21822e-06     -1.57138 -4.22173e-05      1.57071     0.785401
8.373 0.25 0.28 0.65 0.554657 -4.4947e-06 0.623871  1.40572e-06  0.000616477  1.39744e-06     -1.57139 -4.26125e-05      1.57071     0.785401
8.374 0.25 0.28 0.65 0.554659 -4.52179e-06 0.623864  1.58694e-06  0.000622155  1.57834e-06      -1.5714 -4.30078e-05      1.57071     0.785401
8.375 0.25 0.28 0.65 0.55466 -4.54686e-06 0.623857  1.76985e-06   0.00062783  1.76097e-06      -1.5714 -4.34032e-05      1.57071     0.785402
8.376 0.25 0.28 0.65 0.554662 -4.56987e-06 0.623851   1.9545e-06  0.000633499  1.94538e-06     -1.57141 -4.37986e-05      1.57071     0.785402
8.377 0.25 0.28 0.65 0.554664 -4.59081e-06 0.623844 2.14088e-06 0.000639162 2.13157e-06    -1.57142 -4.4194e-05     1.57071    0.785402
8.378 0.25 0.28 0.65 0.554665 -4.60966e-06 0.623838    2.329e-06  0.000644818  2.31955e-06     -1.57142 -4.45894e-05      1.57071     0.785403
8.379 0.25 0.28 0.65 0.554667 -4.62642e-06 0.623831  2.51887e-06  0.000650468  2.50932e-06     -1.57143 -4.49848e-05      1.57071     0.785403
8.38 0.25 0.28 0.65 0.554668 -4.6411e-06 0.623825  2.71047e-06  0.000656111  2.70088e-06     -1.57144 -4.53801e-05       1.5707     0.785404
8.381 0.25 0.28 0.65 0.55467 -4.65369e-06 0.623818  2.90382e-06  0.000661747  2.89424e-06     -1.57145 -4.57755e-05       1.5707     0.785404
8.382 0.25 0.28 0.65 0.554672 -4.6642e-06 0.623812  3.09891e-06  0.000667376  3.08939e-06     -1.57145 -4.61709e-05       1.5707     0.785404
8.383 0.25 0.28 0.65 0.554673 -4.67262e-06 0.623805  3.29573e-06  0.000672998  3.28633e-06     -1.57146 -4.65662e-05       1.5707     0.785405
8.384 0.25 0.28 0.65 0.554675 -4.67896e-06 0.623798   3.4943e-06  0.000678614  3.48507e-06     -1.57147 -4.69616e-05       1.5707     0.785405
8.385 0.25 0.28 0.65 0.554676 -4.68322e-06 0.623792   3.6946e-06  0.000684223  3.68559e-06     -1.57147 -4.73569e-05       1.5707     0.785405
8.386 0.25 0.28 0.65 0.554678 -4.68539e-06 0.623785  3.89664e-06  0.000689824  3.88789e-06     -1.57148 -4.77522e-05       1.5707     0.785406
8.387 0.25 0.28 0.65 0.554679 -4.68549e-06 0.623779  4.10042e-06   0.00069542  4.09199e-06     -1.57149 -4.81475e-05       1.5707     0.785406
8.388 0.25 0.28 0.65 0.554681 -4.68351e-06 0.623772  4.30593e-06  0.000701008  4.29786e-06      -1.5715 -4.85428e-05       1.5707     0.785407
8.389 0.25 0.28 0.65 0.554683 -4.67946e-06 0.623766  4.51317e-06  0.000706589  4.50552e-06      -1.5715 -4.89381e-05       1.5707     0.785407
8.39 0.25 0.28 0.65 0.554684 -4.67333e-06 0.623759  4.72214e-06  0.000712164  4.71497e-06     -1.57151 -4.93333e-05       1.5707     0.785408
8.391 0.25 0.28 0.65 0.554686 -4.66513e-06 0.623752  4.93284e-06  0.000717732  4.92619e-06     -1.57152 -4.97286e-05       1.5707     0.785408
8.392 0.25 0.28 0.65 0.554687 -4.65486e-06 0.623746  5.14527e-06  0.000723293  5.13919e-06     -1.57152 -5.01238e-05       1.5707     0.785408
8.393 0.25 0.28 0.65 0.554689 -4.64251e-06 0.623739  5.35943e-06  0.000728847  5.35397e-06     -1.57153 -5.05191e-05       1.5707     0.785409
8.394 0.25 0.28 0.65 0.55469 -4.6281e-06 0.623733  5.57531e-06  0.000734395  5.57053e-06     -1.57154 -5.09143e-05       1.5707     0.785409
8.395 0.25 0.28 0.65 0.554692 -4.61162e-06 0.623726  5.79292e-06  0.000739936  5.78887e-06     -1.57155 -5.13095e-05      1.57069      0.78541
8.396 0.25 0.28 0.65 0.554693 -4.59308e-06 0.62372  6.01225e-06   0.00074547  6.00897e-06     -1.57155 -5.17047e-05      1.57069      0.78541
8.397 0.25 0.28 0.65 0.554695 -4.57247e-06 0.623713  6.23331e-06  0.000750997  6.23085e-06     -1.57156 -5.20999e-05      1.57069      0.78541
8.398 0.25 0.28 0.65 0.554697 -4.54979e-06 0.623707  6.45608e-06  0.000756517   6.4545e-06     -1.57157 -5.24951e-05      1.57069     0.785411
8.399 0.25 0.28 0.65 0.554698 -4.52506e-06 0.6237  6.68058e-06  0.000762031  6.67993e-06     -1.57158 -5.28902e-05      1.57069     0.785411
8.4 0.25 0.28 0.65 0.5547 -4.49826e-06 0.623693  6.90679e-06  0.000767538  6.90712e-06     -1.57158 -5.32854e-05      1.57069     0.785412
8.401 0.25 0.28 0.65 0.554701 -4.46941e-06 0.623687  7.13472e-06  0.000773038  7.13608e-06     -1.57159 -5.36805e-05      1.57069     0.785412
8.402 0.25 0.28 0.65 0.554703 -4.4385e-06 0.62368  7.36437e-06  0.000778531   7.3668e-06      -1.5716 -5.40757e-05      1.57069     0.785413
8.403 0.25 0.28 0.65 0.554704 -4.40553e-06 0.623674  7.59574e-06  0.000784018  7.59929e-06      -1.5716 -5.44708e-05      1.57069     0.785413
8.404 0.25 0.28 0.65 0.554706 -4.37051e-06 0.623667  7.82881e-06  0.000789498  7.83354e-06     -1.57161 -5.48659e-05      1.57069     0.785414
8.405 0.25 0.28 0.65 0.554707 -4.33343e-06 0.623661  8.0636e-06 0.000794971 8.06956e-06    -1.57162 -5.5261e-05     1.57069    0.785414
8.406 0.25 0.28 0.65 0.554709 -4.2943e-06 0.623654  8.3001e-06 0.000800438 8.30733e-06    -1.57163 -5.5656e-05     1.57069    0.785415
8.407 0.25 0.28 0.65 0.55471 -4.25312e-06 0.623648  8.53831e-06  0.000805897  8.54687e-06     -1.57163 -5.60511e-05      1.57069     0.785415
8.408 0.25 0.28 0.65 0.554712 -4.20989e-06 0.623641  8.77823e-06   0.00081135  8.78817e-06     -1.57164 -5.64462e-05      1.57069     0.785415
8.409 0.25 0.28 0.65 0.554713 -4.16462e-06 0.623634  9.01986e-06  0.000816797  9.03122e-06     -1.57165 -5.68412e-05      1.57069     0.785416
8.41 0.25 0.28 0.65 0.554715 -4.1173e-06 0.623628  9.26319e-06  0.000822236  9.27602e-06     -1.57166 -5.72362e-05      1.57068     0.785416
8.411 0.25 0.28 0.65 0.554717 -4.06793e-06 0.623621  9.50823e-06  0.000827669  9.52259e-06     -1.57166 -5.76312e-05      1.57068     0.785417
8.412 0.25 0.28 0.65 0.554718 -4.01652e-06 0.623615  9.75497e-06  0.000833096   9.7709e-06     -1.57167 -5.80262e-05      1.57068     0.785417
8.413 0.25 0.28 0.65 0.55472 -3.96306e-06 0.623608  1.00034e-05  0.000838515   1.0021e-05     -1.57168 -5.84212e-05      1.57068     0.785418
8.414 0.25 0.28 0.65 0.554721 -3.90757e-06 0.623602  1.02536e-05  0.000843928  1.02728e-05     -1.57168 -5.88162e-05      1.57068     0.785418
8.415 0.25 0.28 0.65 0.554723 -3.85004e-06 0.623595  1.05054e-05  0.000849334  1.05264e-05     -1.57169 -5.92112e-05      1.57068     0.785419
8.416 0.25 0.28 0.65 0.554724 -3.79047e-06 0.623589   1.0759e-05  0.000854734  1.07817e-05      -1.5717 -5.96061e-05      1.57068     0.785419
