playtime target_pos(x) target_pos(y) target_pos(z) current_pos(x) current_pos(y) current_pos(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
9.991 0.25 0.28 0.65 0.554646 -4.24507e-06 0.623918  1.44262e-14  0.000576614 -1.48982e-08     -1.57134 -3.95938e-05      1.57072     0.785398
9.992 0.25 0.28 0.65 0.554647 -4.27125e-06 0.623914   3.8837e-07  0.000578394  3.76666e-07     -1.57132 -3.99026e-05       1.5707     0.785399
9.993 0.25 0.28 0.65 0.554648 -4.3001e-06 0.623909  1.12141e-06  0.000579882  1.11129e-06     -1.57131 -4.02648e-05      1.57067       0.7854
9.994 0.25 0.28 0.65 0.554649 -4.32652e-06 0.623903  2.19106e-06  0.000580483   2.1806e-06     -1.57129 -4.06456e-05      1.57064     0.785403
9.995 0.25 0.28 0.65 0.554651 -4.34542e-06 0.623897  3.59132e-06  0.000579973  3.57895e-06     -1.57127 -4.10344e-05      1.57061     0.785405
9.996 0.25 0.28 0.65 0.554652 -4.35178e-06 0.623891  5.31679e-06  0.000578258  5.30132e-06     -1.57125 -4.14266e-05      1.57058     0.785409
9.997 0.25 0.28 0.65 0.554654 -4.34093e-06 0.623885  7.36265e-06  0.000575305  7.34325e-06     -1.57124 -4.18201e-05      1.57054     0.785413
9.998 0.25 0.28 0.65 0.554655 -4.30857e-06 0.623879   9.7246e-06  0.000571105  9.70064e-06     -1.57122 -4.22138e-05      1.57051     0.785418
9.999 0.25 0.28 0.65 0.554657 -4.25065e-06 0.623873  1.23986e-05  0.000565665  1.23697e-05     -1.57121 -4.26074e-05      1.57048     0.785423
10 0.25 0.28 0.65 0.554658 -4.16337e-06 0.623868   1.5381e-05  0.000558993  1.53468e-05      -1.5712 -4.30005e-05      1.57045     0.785429
10.001 0.25 0.28 0.65 0.554659 -4.04305e-06 0.623862   1.8668e-05  0.000551102  1.86284e-05     -1.57119 -4.33931e-05      1.57042     0.785435
10.002 0.25 0.28 0.65 0.55466 -3.88616e-06 0.623857  2.22563e-05  0.000542005  2.22113e-05     -1.57118 -4.37851e-05      1.57039     0.785443
10.003 0.25 0.28 0.65 0.554661 -3.68925e-06 0.623852  2.61424e-05  0.000531716   2.6092e-05     -1.57118 -4.41764e-05      1.57036      0.78545
10.004 0.25 0.28 0.65 0.554662 -3.44896e-06 0.623846  3.03231e-05  0.000520248  3.02676e-05     -1.57118 -4.45671e-05      1.57034     0.785459
10.005 0.25 0.28 0.65 0.554663 -3.16204e-06 0.623841   3.4795e-05  0.000507615  3.47347e-05     -1.57117 -4.49571e-05      1.57031     0.785468
10.006 0.25 0.28 0.65 0.554664 -2.82529e-06 0.623837  3.95551e-05  0.000493829  3.94904e-05     -1.57117 -4.53463e-05      1.57028     0.785477
10.007 0.25 0.28 0.65 0.554665 -2.43561e-06 0.623832  4.46003e-05  0.000478903  4.45318e-05     -1.57118 -4.57349e-05      1.57025     0.785487
10.008 0.25 0.28 0.65 0.554666 -1.98997e-06 0.623827  4.99276e-05  0.000462851  4.98558e-05     -1.57118 -4.61226e-05      1.57023     0.785498
10.009 0.25 0.28 0.65 0.554666 -1.4854e-06 0.623823   5.5534e-05  0.000445683  5.54597e-05     -1.57118 -4.65096e-05       1.5702     0.785509
10.01 0.25 0.28 0.65 0.554667 -9.1902e-07 0.623818  6.14166e-05  0.000427413  6.13407e-05     -1.57119 -4.68958e-05      1.57018     0.785521
10.011 0.25 0.28 0.65 0.554667 -2.88002e-07 0.623814  6.75726e-05  0.000408051  6.74961e-05      -1.5712 -4.72812e-05      1.57015     0.785533
10.012 0.25 0.28 0.65 0.554667 4.10404e-07 0.62381  7.39994e-05   0.00038761  7.39232e-05     -1.57121 -4.76657e-05      1.57013     0.785546
10.013 0.25 0.28 0.65 0.554668 1.17888e-06 0.623806  8.06941e-05    0.0003661  8.06194e-05     -1.57122 -4.80494e-05       1.5701     0.785559
10.014 0.25 0.28 0.65 0.554668 2.02006e-06 0.623802  8.76542e-05  0.000343532  8.75822e-05     -1.57123 -4.84322e-05      1.57008     0.785573
10.015 0.25 0.28 0.65 0.554668 2.93649e-06 0.623798 9.48771e-05 0.000319917 9.48091e-05    -1.57124 -4.8814e-05     1.57006    0.785587
10.016 0.25 0.28 0.65 0.554668 3.93067e-06 0.623794  0.00010236 0.000295265 0.000102298    -1.57126 -4.9195e-05     1.57003    0.785602
10.017 0.25 0.28 0.65 0.554667 5.00504e-06 0.62379  0.000110101  0.000269586  0.000110046     -1.57127 -4.95749e-05      1.57001     0.785617
10.018 0.25 0.28 0.65 0.554667 6.16197e-06 0.623787  0.000118097  0.000242892  0.000118051     -1.57129 -4.99539e-05      1.56999     0.785633
10.019 0.25 0.28 0.65 0.554667 7.40379e-06 0.623783  0.000126347   0.00021519   0.00012631     -1.57131 -5.03318e-05      1.56997      0.78565
10.02 0.25 0.28 0.65 0.554666 8.73276e-06 0.62378  0.000134847  0.000186491  0.000134822     -1.57133 -5.07086e-05      1.56995     0.785666
10.021 0.25 0.28 0.65 0.554666 1.01511e-05 0.623776  0.000143595  0.000156804  0.000143585     -1.57135 -5.10844e-05      1.56993     0.785684
10.022 0.25 0.28 0.65 0.554665 1.16609e-05 0.623773  0.00015259 0.000126138 0.000152596    -1.57137 -5.1459e-05     1.56991    0.785701
10.023 0.25 0.28 0.65 0.554664 1.32644e-05 0.62377  0.000161829  9.45024e-05  0.000161853      -1.5714 -5.18325e-05      1.56989      0.78572
10.024 0.25 0.28 0.65 0.554663 1.49635e-05 0.623767  0.000171309  6.19053e-05  0.000171354     -1.57142 -5.22048e-05      1.56987     0.785738
10.025 0.25 0.28 0.65 0.554662 1.67603e-05 0.623764   0.00018103  2.83554e-05  0.000181097     -1.57145 -5.25759e-05      1.56985     0.785758
10.026 0.25 0.28 0.65 0.55466 1.86567e-05 0.623761  0.000190989 -6.13897e-06   0.00019108     -1.57148 -5.29457e-05      1.56983     0.785777
10.027 0.25 0.28 0.65 0.554659 2.06547e-05 0.623758  0.000201183 -4.15697e-05  0.000201302     -1.57151 -5.33142e-05      1.56981     0.785797
10.028 0.25 0.28 0.65 0.554658 2.2756e-05 0.623755  0.000211612 -7.79287e-05   0.00021176     -1.57154 -5.36814e-05      1.56979     0.785818
10.029 0.25 0.28 0.65 0.554656 2.49625e-05 0.623752  0.000222272 -0.000115208  0.000222453     -1.57157 -5.40472e-05      1.56977     0.785839
10.03 0.25 0.28 0.65 0.554654 2.7276e-05 0.62375  0.000233163 -0.000153401  0.000233379      -1.5716 -5.44115e-05      1.56975      0.78586
10.031 0.25 0.28 0.65 0.554652 2.96982e-05 0.623747  0.000244282 -0.000192499  0.000244537     -1.57164 -5.47744e-05      1.56974     0.785882
10.032 0.25 0.28 0.65 0.55465 3.22308e-05 0.623745  0.000255627 -0.000232496  0.000255923     -1.57167 -5.51358e-05      1.56972     0.785905
10.033 0.25 0.28 0.65 0.554648 3.48753e-05 0.623742  0.000267198 -0.000273383  0.000267538     -1.57171 -5.54957e-05       1.5697     0.785927
10.034 0.25 0.28 0.65 0.554646 3.76335e-05 0.62374  0.000278992 -0.000315155  0.000279378     -1.57175  -5.5854e-05      1.56968     0.785951
10.035 0.25 0.28 0.65 0.554643 4.05069e-05 0.623737  0.000291007 -0.000357804  0.000291444     -1.57179 -5.62106e-05      1.56967     0.785974
10.036 0.25 0.28 0.65 0.554641 4.3497e-05 0.623735  0.000303242 -0.000401324  0.000303732     -1.57183 -5.65655e-05      1.56965     0.785998
10.037 0.25 0.28 0.65 0.554638 4.66052e-05 0.623733  0.000315695 -0.000445708  0.000316242     -1.57187 -5.69187e-05      1.56964     0.786023
10.038 0.25 0.28 0.65 0.554635 4.98331e-05 0.623731  0.000328365 -0.000490949  0.000328973     -1.57191 -5.72701e-05      1.56962     0.786047
10.039 0.25 0.28 0.65 0.554632 5.3182e-05 0.623729   0.00034125 -0.000537043  0.000341922     -1.57195 -5.76197e-05       1.5696     0.786073
10.04 0.25 0.28 0.65 0.554629 5.66533e-05 0.623727  0.000354349 -0.000583981  0.000355088       -1.572 -5.79674e-05      1.56959     0.786098
10.041 0.25 0.28 0.65 0.554625 6.02484e-05 0.623725   0.00036766 -0.000631759   0.00036847     -1.57204 -5.83132e-05      1.56957     0.786124
10.042 0.25 0.28 0.65 0.554622 6.39685e-05 0.623723  0.000381182 -0.000680371  0.000382067     -1.57209  -5.8657e-05      1.56956     0.786151
10.043 0.25 0.28 0.65 0.554618 6.7815e-05 0.623721  0.000394913  -0.00072981  0.000395876     -1.57214 -5.89987e-05      1.56954     0.786178
10.044 0.25 0.28 0.65 0.554615 7.17891e-05 0.623719  0.000408852 -0.000780072  0.000409898     -1.57219 -5.93383e-05      1.56953     0.786205
10.045 0.25 0.28 0.65 0.554611 7.58919e-05 0.623717  0.000422998  -0.00083115  0.000424131     -1.57224 -5.96758e-05      1.56952     0.786233
10.046 0.25 0.28 0.65 0.554607 8.01248e-05 0.623716  0.000437349  -0.00088304  0.000438573     -1.57229 -6.00111e-05       1.5695     0.786261
10.047 0.25 0.28 0.65 0.554602 8.44887e-05 0.623714  0.000451904 -0.000935735  0.000453223     -1.57234 -6.03441e-05      1.56949     0.786289
10.048 0.25 0.28 0.65 0.554598 8.89849e-05 0.623713  0.000466662 -0.000989232   0.00046808     -1.57239 -6.06748e-05      1.56948     0.786318
10.049 0.25 0.28 0.65 0.554594 9.36144e-05 0.623711  0.000481621  -0.00104352  0.000483143     -1.57245 -6.10031e-05      1.56946     0.786347
10.05 0.25 0.28 0.65 0.554589 9.83783e-05 0.62371 0.000496781 -0.00109861 0.000498411     -1.5725 -6.1329e-05     1.56945    0.786377
10.051 0.25 0.28 0.65 0.554584 0.000103278 0.623708  0.000512139  -0.00115448  0.000513883     -1.57256 -6.16524e-05      1.56944     0.786407
10.052 0.25 0.28 0.65 0.554579 0.000108313 0.623707  0.000527696  -0.00121113  0.000529557     -1.57261 -6.19732e-05      1.56942     0.786437
10.053 0.25 0.28 0.65 0.554574 0.000113487 0.623705  0.000543449  -0.00126856  0.000545433     -1.57267 -6.22914e-05      1.56941     0.786468
10.054 0.25 0.28 0.65 0.554569 0.000118798 0.623704  0.000559398  -0.00132676  0.000561509     -1.57273 -6.26069e-05       1.5694     0.786499
10.055 0.25 0.28 0.65 0.554563 0.000124249 0.623703  0.000575541  -0.00138572  0.000577785     -1.57279 -6.29196e-05      1.56939      0.78653
10.056 0.25 0.28 0.65 0.554557 0.00012984 0.623702  0.000591878  -0.00144545  0.000594259     -1.57285 -6.32295e-05      1.56937     0.786562
10.057 0.25 0.28 0.65 0.554552 0.000135573 0.623701  0.000608408  -0.00150594  0.000610931     -1.57291 -6.35366e-05      1.56936     0.786594
10.058 0.25 0.28 0.65 0.554546 0.000141447 0.623699  0.000625128  -0.00156719  0.000627799     -1.57298 -6.38407e-05      1.56935     0.786627
