playtime target_pos_ee(x) target_pos_ee(y) target_pos_ee(z) current_pos_ee(x) current_pos_ee(y) current_pos_ee(z) target_pos_link4(x) target_pos_link4(y) target_pos_link4(z) current_pos_link4(x) current_pos_link4(y) current_pos_link4(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
8.037 0.35 0.28 0.7 0.554633 -4.23739e-06 0.62394 0 -0.15 0.5 0.0826827 9.29293e-10 0.648952  1.19341e-08  0.000578152 -6.96359e-10     -1.57126 -3.96527e-05      1.57057     0.785395
8.038 0.35 0.28 0.7 0.554634 -4.26261e-06 0.623936 0 -0.15 0.5 0.0826837 2.15308e-09 0.648952  2.59577e-07  0.000577559  2.52251e-07     -1.57126 -3.97868e-05      1.57057     0.785395
8.039 0.35 0.28 0.7 0.554635 -4.29225e-06 0.623931 0 -0.15 0.5 0.0826853 3.52084e-09 0.648952 6.59648e-07 0.000576715 6.57024e-07    -1.57126 -3.9856e-05     1.57057    0.785395
8.04 0.35 0.28 0.7 0.554636 -4.32246e-06 0.623925 0 -0.15 0.5 0.0826871 5.04575e-09 0.648951  1.20882e-06  0.000575602  1.21034e-06     -1.57126 -3.98264e-05      1.57057     0.785395
8.041 0.35 0.28 0.7 0.554638 -4.3498e-06 0.623919 0 -0.15 0.5 0.082689 7.06123e-09 0.648951  1.90578e-06  0.000574211  1.91141e-06     -1.57127 -3.96875e-05      1.57057     0.785395
8.042 0.35 0.28 0.7 0.554639 -4.37115e-06 0.623913 0 -0.15 0.5 0.0826909 9.9486e-09 0.64895   2.7498e-06  0.000572538  2.75991e-06     -1.57127 -3.94346e-05      1.57057     0.785395
8.043 0.35 0.28 0.7 0.554641 -4.38378e-06 0.623907 0 -0.15 0.5 0.0826928 1.40616e-08 0.64895  3.74041e-06  0.000570582  3.75571e-06     -1.57127 -3.90651e-05      1.57057     0.785395
8.044 0.35 0.28 0.7 0.554643 -4.38535e-06 0.6239 0 -0.15 0.5 0.0826947 1.97185e-08 0.648949  4.87729e-06  0.000568341  4.89867e-06     -1.57127 -3.85775e-05      1.57057     0.785395
8.045 0.35 0.28 0.7 0.554644 -4.37375e-06 0.623894 0 -0.15 0.5 0.0826966 2.721e-08 0.648949  6.16017e-06  0.000565814  6.18871e-06     -1.57127 -3.79706e-05      1.57057     0.785395
8.046 0.35 0.28 0.7 0.554645 -4.34699e-06 0.623888 0 -0.15 0.5 0.0826984 3.68088e-08 0.648948  7.58883e-06  0.000563003  7.62571e-06     -1.57127 -3.72436e-05      1.57056     0.785395
8.047 0.35 0.28 0.7 0.554647 -4.3032e-06 0.623882 0 -0.15 0.5 0.0827003 4.87759e-08 0.648948  9.16306e-06  0.000559906  9.20958e-06     -1.57128 -3.63957e-05      1.57056     0.785395
8.048 0.35 0.28 0.7 0.554648 -4.24057e-06 0.623876 0 -0.15 0.5 0.082702 6.33645e-08 0.648947  1.08827e-05  0.000556524  1.09402e-05     -1.57128 -3.54261e-05      1.57056     0.785395
8.049 0.35 0.28 0.7 0.55465 -4.15729e-06 0.62387 0 -0.15 0.5 0.0827038 8.08222e-08 0.648947 1.27474e-05 0.000552857 1.28175e-05    -1.57128 -3.4334e-05     1.57056    0.785395
8.05 0.35 0.28 0.7 0.554651 -4.05163e-06 0.623864 0 -0.15 0.5 0.0827055 1.01392e-07 0.648946  1.47572e-05  0.000548904  1.48413e-05     -1.57128 -3.31189e-05      1.57055     0.785395
8.051 0.35 0.28 0.7 0.554652 -3.92187e-06 0.623859 0 -0.15 0.5 0.0827072 1.25314e-07 0.648946  1.69118e-05  0.000544666  1.70115e-05     -1.57129 -3.17798e-05      1.57055     0.785395
8.052 0.35 0.28 0.7 0.554654 -3.76628e-06 0.623853 0 -0.15 0.5 0.0827089 1.52825e-07 0.648945  1.92109e-05  0.000540142  1.93281e-05     -1.57129 -3.03162e-05      1.57054     0.785395
8.053 0.35 0.28 0.7 0.554655 -3.5832e-06 0.623847 0 -0.15 0.5 0.0827105 1.84157e-07 0.648945  2.16545e-05  0.000535333  2.17908e-05     -1.57129 -2.87272e-05      1.57054     0.785395
8.054 0.35 0.28 0.7 0.554656 -3.37097e-06 0.623842 0 -0.15 0.5 0.0827121 2.19541e-07 0.648945  2.42423e-05  0.000530239  2.43997e-05      -1.5713 -2.70122e-05      1.57054     0.785395
8.055 0.35 0.28 0.7 0.554657 -3.12793e-06 0.623837 0 -0.15 0.5 0.0827136 2.59205e-07 0.648944  2.69742e-05  0.000524859  2.71545e-05      -1.5713 -2.51704e-05      1.57053     0.785395
8.056 0.35 0.28 0.7 0.554658 -2.85248e-06 0.623831 0 -0.15 0.5 0.0827152 3.03372e-07 0.648944  2.98499e-05  0.000519194  3.00552e-05      -1.5713 -2.32012e-05      1.57053     0.785395
8.057 0.35 0.28 0.7 0.55466 -2.54301e-06 0.623826 0 -0.15 0.5 0.0827166 3.52263e-07 0.648943  3.28693e-05  0.000513243  3.31016e-05     -1.57131 -2.11037e-05      1.57052     0.785395
