playtime h1 h2 target_pos_ee(x) target_pos_ee(y) target_pos_ee(z) current_pos_ee(x) current_pos_ee(y) current_pos_ee(z) target_pos_link4(x) target_pos_link4(y) target_pos_link4(z) current_pos_link4(x) current_pos_link4(y) current_pos_link4(z) q_desired_1 q_desired_2 q_desired_3 q_desired_4 q_desired_5 q_desired_6 q_desired_7
7.43 1 0 0.35 0.28 0.7 0.554627 -4.23344e-06 0.623955 0 -0.15 0.5 0.0826829 1.95528e-09 0.648952  1.75246e-08  0.000578865  6.13697e-09     -1.57122 -3.96778e-05       1.5705     0.785389
7.431 1 0 0.35 0.28 0.7 0.554627 -4.25805e-06 0.623951 0 -0.15 0.5 0.082684 3.29981e-09 0.648952  1.05941e-07  0.000578548  9.88482e-08     -1.57122 -3.99763e-05       1.5705     0.785389
7.432 1 0 0.35 0.28 0.7 0.554629 -4.28875e-06 0.623946 0 -0.15 0.5 0.0826856 4.54543e-09 0.648951  2.40452e-07  0.000578207   2.3615e-07     -1.57122 -4.03166e-05       1.5705     0.785389
7.433 1 0 0.35 0.28 0.7 0.55463 -4.32288e-06 0.62394 0 -0.15 0.5 0.0826874 5.55723e-09 0.648951  4.17832e-07  0.000577805   4.1495e-07     -1.57122 -4.06658e-05       1.5705     0.785389
7.434 1 0 0.35 0.28 0.7 0.554632 -4.35826e-06 0.623934 0 -0.15 0.5 0.0826893 6.50033e-09 0.648951  6.36945e-07  0.000577332  6.34585e-07     -1.57122 -4.10143e-05       1.5705     0.785389
7.435 1 0 0.35 0.28 0.7 0.554633 -4.39312e-06 0.623927 0 -0.15 0.5 0.0826912 7.57263e-09 0.64895  8.97235e-07  0.000576786  8.94871e-07     -1.57122 -4.13583e-05       1.5705     0.785389
7.436 1 0 0.35 0.28 0.7 0.554635 -4.42613e-06 0.623921 0 -0.15 0.5 0.0826931 8.93978e-09 0.64895 1.19842e-06 0.000576163 1.19576e-06    -1.57122 -4.1696e-05      1.5705    0.785389
7.437 1 0 0.35 0.28 0.7 0.554636 -4.45631e-06 0.623915 0 -0.15 0.5 0.082695 1.07316e-08 0.648949  1.54034e-06  0.000575462  1.53725e-06     -1.57122 -4.20266e-05       1.5705     0.785389
7.438 1 0 0.35 0.28 0.7 0.554638 -4.48291e-06 0.623909 0 -0.15 0.5 0.0826969 1.30522e-08 0.648949  1.92292e-06  0.000574684  1.91935e-06     -1.57122 -4.23496e-05       1.5705     0.785389
7.439 1 0 0.35 0.28 0.7 0.554639 -4.50532e-06 0.623903 0 -0.15 0.5 0.0826988 1.59897e-08 0.648948 2.34612e-06 0.000573827 2.34205e-06    -1.57122 -4.2665e-05      1.5705    0.785389
