playtime q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7 tau_desired_1 tau_desired_2 tau_desired_3 tau_desired_4 tau_desired_5 tau_desired_6 tau_desired_7
27.082 7.19951e-08 6.24982e-07 -6.68053e-06 -0.523597 1.78777e-05 1.5708 -0.00197308 -1.66377e-16 -12.6196 5.67763e-07 5.65313 0.398047 1.36411 -0.0459133
27.083 7.33514e-08 6.26073e-07 -6.68012e-06 -0.523597 1.78696e-05 1.5708 -0.00197297 6.53169e-17 -12.6196 5.68754e-07 5.65313 0.398047 1.36411 -0.0459133
27.084 7.46983e-08 6.27182e-07 -6.67972e-06 -0.523597 1.78616e-05 1.5708 -0.00197285 1.10165e-17 -12.6196 5.69761e-07 5.65313 0.398047 1.36411 -0.0459133
27.085 7.6036e-08 6.28309e-07 -6.67931e-06 -0.523597 1.78536e-05 1.5708 -0.00197274 3.65251e-17 -12.6196 5.70785e-07 5.65313 0.398047 1.36411 -0.0459133
27.086 7.73644e-08 6.29454e-07 -6.67891e-06 -0.523597 1.78458e-05 1.5708 -0.00197263 7.463e-18 -12.6196 5.71825e-07 5.65313 0.398047 1.36411 -0.0459133
27.087 7.86837e-08 6.30616e-07 -6.67851e-06 -0.523597 1.7838e-05 1.5708 -0.00197252 3.99424e-17 -12.6196 5.72881e-07 5.65313 0.398047 1.36411 -0.0459133
27.088 7.99938e-08 6.31796e-07 -6.67812e-06 -0.523597 1.78303e-05 1.5708 -0.00197241 2.54835e-17 -12.6196 5.73953e-07 5.65313 0.398047 1.36411 -0.0459133
27.089 8.1295e-08 6.32993e-07 -6.67772e-06 -0.523597 1.78226e-05 1.5708 -0.00197231 -6.39405e-17 -12.6196 5.7504e-07 5.65313 0.398047 1.36411 -0.0459133
27.09 8.25873e-08 6.34206e-07 -6.67733e-06 -0.523597 1.78151e-05 1.5708 -0.0019722 1.56072e-17 -12.6196 5.76143e-07 5.65313 0.398047 1.36411 -0.0459133
27.091 8.38707e-08 6.35436e-07 -6.67694e-06 -0.523597 1.78076e-05 1.5708 -0.0019721 2.89186e-17 -12.6196 5.7726e-07 5.65313 0.398047 1.36411 -0.0459133
27.092 8.51452e-08 6.36683e-07 -6.67656e-06 -0.523597 1.78001e-05 1.5708 -0.00197199 6.42628e-17 -12.6196 5.78392e-07 5.65313 0.398047 1.36411 -0.0459133
27.093 8.64111e-08 6.37945e-07 -6.67617e-06 -0.523597 1.77927e-05 1.5708 -0.00197189 5.84126e-17 -12.6196 5.79539e-07 5.65313 0.398047 1.36411 -0.0459133
27.094 8.76683e-08 6.39223e-07 -6.67579e-06 -0.523597 1.77854e-05 1.5708 -0.00197179 -9.98419e-18 -12.6196 5.80699e-07 5.65313 0.398047 1.36411 -0.0459133
27.095 8.89169e-08 6.40516e-07 -6.67541e-06 -0.523597 1.77782e-05 1.5708 -0.00197169 -9.77969e-17 -12.6196 5.81874e-07 5.65313 0.398047 1.36411 -0.0459133
27.096 9.0157e-08 6.41825e-07 -6.67504e-06 -0.523597 1.7771e-05 1.5708 -0.00197159 2.05035e-16 -12.6196 5.83063e-07 5.65313 0.398047 1.36411 -0.0459133
27.097 9.13887e-08 6.43148e-07 -6.67466e-06 -0.523597 1.77639e-05 1.5708 -0.00197149 3.62494e-17 -12.6196 5.84266e-07 5.65313 0.398047 1.36411 -0.0459134
27.098 9.26119e-08 6.44487e-07 -6.67429e-06 -0.523597 1.77569e-05 1.5708 -0.00197139 1.14429e-16 -12.6196 5.85481e-07 5.65313 0.398047 1.36411 -0.0459134
27.099 9.38269e-08 6.45839e-07 -6.67392e-06 -0.523597 1.77499e-05 1.5708 -0.00197129 -6.6336e-17 -12.6196 5.86711e-07 5.65313 0.398047 1.36411 -0.0459134
27.1 9.50336e-08 6.47207e-07 -6.67355e-06 -0.523597 1.7743e-05 1.5708 -0.00197119 1.17412e-16 -12.6196 5.87953e-07 5.65313 0.398047 1.36411 -0.0459134
27.101 9.62321e-08 6.48588e-07 -6.67318e-06 -0.523597 1.77361e-05 1.5708 -0.0019711 -5.21561e-19 -12.6196 5.89208e-07 5.65313 0.398047 1.36411 -0.0459134
27.102 9.74224e-08 6.49983e-07 -6.67282e-06 -0.523597 1.77293e-05 1.5708 -0.00197101 9.08724e-17 -12.6196 5.90475e-07 5.65313 0.398047 1.36411 -0.0459134
27.103 9.86047e-08 6.51392e-07 -6.67246e-06 -0.523597 1.77226e-05 1.5708 -0.00197091 4.78558e-17 -12.6196 5.91755e-07 5.65313 0.398047 1.36411 -0.0459134
27.104 9.9779e-08 6.52814e-07 -6.6721e-06 -0.523597 1.77159e-05 1.5708 -0.00197082 2.87239e-17 -12.6196 5.93047e-07 5.65313 0.398047 1.36411 -0.0459134
27.105 1.00945e-07 6.5425e-07 -6.67174e-06 -0.523597 1.77093e-05 1.5708 -0.00197073 -6.2801e-17 -12.6196 5.94351e-07 5.65313 0.398047 1.36411 -0.0459134
27.106 1.02104e-07 6.55698e-07 -6.67139e-06 -0.523597 1.77028e-05 1.5708 -0.00197064 -1.09217e-16 -12.6196 5.95667e-07 5.65313 0.398047 1.36411 -0.0459134
27.107 1.03255e-07 6.57159e-07 -6.67104e-06 -0.523597 1.76963e-05 1.5708 -0.00197055 1.30824e-16 -12.6196 5.96994e-07 5.65313 0.398047 1.36411 -0.0459134
27.108 1.04398e-07 6.58633e-07 -6.67068e-06 -0.523597 1.76899e-05 1.5708 -0.00197046 -6.40792e-17 -12.6196 5.98333e-07 5.65313 0.398047 1.36411 -0.0459134
27.109 1.05533e-07 6.60119e-07 -6.67034e-06 -0.523597 1.76835e-05 1.5708 -0.00197037 8.40639e-17 -12.6196 5.99683e-07 5.65313 0.398047 1.36411 -0.0459134
27.11 1.0666e-07 6.61617e-07 -6.66999e-06 -0.523597 1.76772e-05 1.5708 -0.00197028 4.59066e-17 -12.6196 6.01044e-07 5.65313 0.398047 1.36411 -0.0459134
27.111 1.07781e-07 6.63127e-07 -6.66964e-06 -0.523597 1.76709e-05 1.5708 -0.0019702 -5.30695e-17 -12.6196 6.02416e-07 5.65313 0.398047 1.36411 -0.0459134
27.112 1.08893e-07 6.64649e-07 -6.6693e-06 -0.523597 1.76647e-05 1.5708 -0.00197011 3.56439e-17 -12.6196 6.03798e-07 5.65313 0.398047 1.36411 -0.0459134
27.113 1.09998e-07 6.66182e-07 -6.66896e-06 -0.523597 1.76586e-05 1.5708 -0.00197003 -7.49847e-17 -12.6196 6.05191e-07 5.65313 0.398047 1.36411 -0.0459134
27.114 1.11096e-07 6.67727e-07 -6.66862e-06 -0.523597 1.76525e-05 1.5708 -0.00196995 4.35322e-18 -12.6196 6.06594e-07 5.65313 0.398047 1.36411 -0.0459134
27.115 1.12186e-07 6.69283e-07 -6.66829e-06 -0.523597 1.76465e-05 1.5708 -0.00196986 1.81115e-16 -12.6196 6.08008e-07 5.65313 0.398047 1.36411 -0.0459134
27.116 1.13269e-07 6.7085e-07 -6.66795e-06 -0.523597 1.76405e-05 1.5708 -0.00196978 -4.22146e-17 -12.6196 6.09431e-07 5.65313 0.398047 1.36411 -0.0459134
27.117 1.14345e-07 6.72427e-07 -6.66762e-06 -0.523597 1.76346e-05 1.5708 -0.0019697 -1.60472e-16 -12.6196 6.10864e-07 5.65313 0.398047 1.36411 -0.0459134
27.118 1.15414e-07 6.74015e-07 -6.66729e-06 -0.523597 1.76287e-05 1.5708 -0.00196962 2.37118e-17 -12.6196 6.12307e-07 5.65313 0.398047 1.36411 -0.0459134
27.119 1.16476e-07 6.75614e-07 -6.66696e-06 -0.523597 1.76229e-05 1.5708 -0.00196954 2.90433e-17 -12.6196 6.13759e-07 5.65313 0.398047 1.36411 -0.0459135
27.12 1.1753e-07 6.77222e-07 -6.66663e-06 -0.523597 1.76172e-05 1.5708 -0.00196946 -6.02198e-18 -12.6196 6.1522e-07 5.65313 0.398047 1.36411 -0.0459135
27.121 1.18578e-07 6.78841e-07 -6.6663e-06 -0.523597 1.76115e-05 1.5708 -0.00196938 8.60607e-17 -12.6196 6.1669e-07 5.65313 0.398047 1.36411 -0.0459135
27.122 1.19618e-07 6.80469e-07 -6.66598e-06 -0.523597 1.76058e-05 1.5708 -0.00196931 -3.56676e-17 -12.6196 6.1817e-07 5.65313 0.398047 1.36411 -0.0459135
27.123 1.20652e-07 6.82107e-07 -6.66566e-06 -0.523597 1.76002e-05 1.5708 -0.00196923 -3.33472e-17 -12.6196 6.19658e-07 5.65313 0.398047 1.36411 -0.0459135
27.124 1.21679e-07 6.83755e-07 -6.66534e-06 -0.523597 1.75947e-05 1.5708 -0.00196915 7.25288e-17 -12.6196 6.21154e-07 5.65313 0.398047 1.36411 -0.0459135
27.125 1.22699e-07 6.85411e-07 -6.66502e-06 -0.523597 1.75892e-05 1.5708 -0.00196908 -2.10942e-17 -12.6196 6.22659e-07 5.65313 0.398047 1.36411 -0.0459135
27.126 1.23713e-07 6.87077e-07 -6.6647e-06 -0.523597 1.75837e-05 1.5708 -0.001969 1.17656e-16 -12.6196 6.24173e-07 5.65313 0.398047 1.36411 -0.0459135
27.127 1.24719e-07 6.88752e-07 -6.66439e-06 -0.523597 1.75783e-05 1.5708 -0.00196893 2.31003e-16 -12.6196 6.25694e-07 5.65313 0.398047 1.36411 -0.0459135
27.128 1.25719e-07 6.90436e-07 -6.66408e-06 -0.523597 1.75729e-05 1.5708 -0.00196886 -5.51999e-17 -12.6196 6.27224e-07 5.65313 0.398047 1.36411 -0.0459135
27.129 1.26713e-07 6.92128e-07 -6.66376e-06 -0.523597 1.75676e-05 1.5708 -0.00196879 1.2011e-16 -12.6196 6.28761e-07 5.65313 0.398047 1.36411 -0.0459135
27.13 1.277e-07 6.93828e-07 -6.66345e-06 -0.523597 1.75624e-05 1.5708 -0.00196871 9.4892e-17 -12.6196 6.30306e-07 5.65313 0.398047 1.36411 -0.0459135
27.131 1.2868e-07 6.95537e-07 -6.66315e-06 -0.523597 1.75572e-05 1.5708 -0.00196864 -7.64061e-17 -12.6196 6.31858e-07 5.65313 0.398047 1.36411 -0.0459135
27.132 1.29655e-07 6.97254e-07 -6.66284e-06 -0.523597 1.7552e-05 1.5708 -0.00196857 4.41114e-18 -12.6196 6.33418e-07 5.65313 0.398047 1.36411 -0.0459135
27.133 1.30622e-07 6.98979e-07 -6.66253e-06 -0.523597 1.75469e-05 1.5708 -0.0019685 1.56338e-16 -12.6196 6.34985e-07 5.65313 0.398047 1.36411 -0.0459135
27.134 1.31584e-07 7.00712e-07 -6.66223e-06 -0.523597 1.75419e-05 1.5708 -0.00196844 2.24884e-17 -12.6196 6.36559e-07 5.65313 0.398047 1.36411 -0.0459135
27.135 1.32539e-07 7.02452e-07 -6.66193e-06 -0.523597 1.75368e-05 1.5708 -0.00196837 -7.80846e-17 -12.6196 6.3814e-07 5.65313 0.398047 1.36411 -0.0459135
27.136 1.33488e-07 7.042e-07 -6.66163e-06 -0.523597 1.75319e-05 1.5708 -0.0019683 -2.25862e-17 -12.6196 6.39728e-07 5.65313 0.398047 1.36411 -0.0459135
27.137 1.34431e-07 7.05955e-07 -6.66133e-06 -0.523597 1.75269e-05 1.5708 -0.00196823 -3.15165e-17 -12.6196 6.41322e-07 5.65313 0.398047 1.36411 -0.0459135
27.138 1.35367e-07 7.07717e-07 -6.66103e-06 -0.523597 1.75221e-05 1.5708 -0.00196817 1.12034e-17 -12.6196 6.42923e-07 5.65313 0.398047 1.36411 -0.0459135
27.139 1.36298e-07 7.09487e-07 -6.66074e-06 -0.523597 1.75172e-05 1.5708 -0.0019681 -3.39006e-17 -12.6196 6.44531e-07 5.65313 0.398047 1.36411 -0.0459135
27.14 1.37223e-07 7.11263e-07 -6.66045e-06 -0.523597 1.75124e-05 1.5708 -0.00196804 1.21605e-16 -12.6196 6.46144e-07 5.65313 0.398047 1.36411 -0.0459135
27.141 1.38141e-07 7.13046e-07 -6.66015e-06 -0.523597 1.75077e-05 1.5708 -0.00196797 9.9174e-17 -12.6196 6.47764e-07 5.65313 0.398047 1.36411 -0.0459135
27.142 1.39054e-07 7.14835e-07 -6.65986e-06 -0.523597 1.7503e-05 1.5708 -0.00196791 3.56467e-17 -12.6196 6.4939e-07 5.65313 0.398047 1.36411 -0.0459135
27.143 1.3996e-07 7.16631e-07 -6.65957e-06 -0.523597 1.74983e-05 1.5708 -0.00196785 -1.03677e-17 -12.6196 6.51021e-07 5.65313 0.398047 1.36411 -0.0459135
27.144 1.40861e-07 7.18434e-07 -6.65929e-06 -0.523597 1.74937e-05 1.5708 -0.00196779 -4.4022e-17 -12.6196 6.52658e-07 5.65313 0.398047 1.36411 -0.0459135
27.145 1.41756e-07 7.20242e-07 -6.659e-06 -0.523597 1.74891e-05 1.5708 -0.00196773 2.16237e-16 -12.6196 6.54301e-07 5.65313 0.398047 1.36411 -0.0459135
27.146 1.42646e-07 7.22056e-07 -6.65871e-06 -0.523597 1.74846e-05 1.5708 -0.00196766 -3.33919e-17 -12.6196 6.55949e-07 5.65313 0.398047 1.36411 -0.0459135
