playtime q_target_4 q_joint_4 q_error_4 tau_desired_4 q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
42.103 -0.436332 -0.523598 0.0872655 8.72674 1.32005e-07 2.75312e-07 -6.62845e-06 -0.523598 1.70715e-05 1.5708 -0.00196513
42.104 -0.436332 -0.523564 0.0872318 8.38582 5.24301e-07 1.86478e-05 -5.68297e-06 -0.523564 1.54807e-05 1.57079 -0.0019626
42.105 -0.436332 -0.523498 0.0871662 8.06059 1.30913e-06 5.4557e-05 -3.87224e-06 -0.523498 1.241e-05 1.57076 -0.00195793
42.106 -0.436332 -0.523403 0.0870705 7.75029 2.48485e-06 0.000107199 -1.26937e-06 -0.523403 7.95334e-06 1.57073 -0.00195136
42.107 -0.436332 -0.523279 0.0869465 7.4542 4.04794e-06 0.000175805 2.05816e-06 -0.523279 2.19963e-06 1.57068 -0.00194309
42.108 -0.436332 -0.523128 0.0867957 7.17163 5.99322e-06 0.000259644 6.04803e-06 -0.523128 -4.76719e-06 1.57062 -0.00193332
42.109 -0.436332 -0.522952 0.0866197 6.90195 8.31413e-06 0.000358015 1.06427e-05 -0.522952 -1.28678e-05 1.57056 -0.00192223
42.11 -0.436332 -0.522752 0.0864199 6.64454 1.10029e-05 0.00047025 1.57888e-05 -0.522752 -2.20272e-05 1.57049 -0.00190997
42.111 -0.436332 -0.52253 0.0861978 6.39883 1.40507e-05 0.000595713 2.14372e-05 -0.52253 -3.21748e-05 1.57041 -0.00189667
42.112 -0.436332 -0.522287 0.0859547 6.16426 1.7448e-05 0.000733794 2.75422e-05 -0.522287 -4.32437e-05 1.57033 -0.00188248
42.113 -0.436332 -0.522024 0.0856918 5.94034 2.11843e-05 0.000883911 3.40616e-05 -0.522024 -5.51708e-05 1.57024 -0.00186749
42.114 -0.436332 -0.521743 0.0854104 5.72655 2.52488e-05 0.00104551 4.09563e-05 -0.521743 -6.78968e-05 1.57015 -0.00185181
42.115 -0.436332 -0.521444 0.0851115 5.52245 2.963e-05 0.00121805 4.819e-05 -0.521444 -8.13654e-05 1.57006 -0.00183553
42.116 -0.436332 -0.521129 0.0847963 5.32759 3.43163e-05 0.00140104 5.5729e-05 -0.521129 -9.55236e-05 1.56997 -0.00181873
42.117 -0.436332 -0.520798 0.0844658 5.14155 3.92956e-05 0.00159399 6.35421e-05 -0.520798 -0.000110322 1.56987 -0.00180149
42.118 -0.436332 -0.520453 0.084121 4.96394 4.45557e-05 0.00179643 7.16001e-05 -0.520453 -0.000125712 1.56977 -0.00178387
42.119 -0.436332 -0.520095 0.0837628 4.79438 5.00843e-05 0.00200793 7.98762e-05 -0.520095 -0.000141651 1.56968 -0.00176592
