playtime q_target_4 q_joint_4 q_error_4 tau_desired_4 q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
15.845 -0.436332 -0.523597 0.0872645 34.92 8.7778e-08 6.14327e-07 -6.63221e-06 -0.523597 1.76528e-05 1.5708 -0.00195952
15.846 -0.436332 -0.523575 0.0872429 33.8251 2.50935e-08 -5.25442e-06 -6.84985e-06 -0.523575 1.7445e-05 1.5708 -0.0019594
15.847 -0.436332 -0.523533 0.0872004 32.7614 -9.61608e-08 -1.66622e-05 -7.27596e-06 -0.523533 1.70436e-05 1.57081 -0.00195926
15.848 -0.436332 -0.52347 0.0871377 31.7279 -2.71005e-07 -3.32928e-05 -7.90115e-06 -0.52347 1.64532e-05 1.57082 -0.00195911
15.849 -0.436332 -0.523388 0.0870552 30.7239 -4.94702e-07 -5.48417e-05 -8.71641e-06 -0.523388 1.56787e-05 1.57083 -0.00195895
15.85 -0.436332 -0.523286 0.0869538 29.7486 -7.62742e-07 -8.10155e-05 -9.71298e-06 -0.523286 1.47247e-05 1.57084 -0.00195879
15.851 -0.436332 -0.523166 0.0868339 28.8013 -1.07083e-06 -0.000111532 -1.08825e-05 -0.523166 1.35958e-05 1.57086 -0.00195861
15.852 -0.436332 -0.523028 0.0866961 27.8812 -1.41489e-06 -0.000146119 -1.22167e-05 -0.523028 1.22966e-05 1.57088 -0.00195843
15.853 -0.436332 -0.522873 0.0865411 26.9877 -1.79104e-06 -0.000184516 -1.37078e-05 -0.522873 1.08318e-05 1.5709 -0.00195824
15.854 -0.436332 -0.522702 0.0863694 26.12 -2.19557e-06 -0.000226471 -1.53482e-05 -0.522702 9.20578e-06 1.57092 -0.00195804
15.855 -0.436332 -0.522514 0.0861815 25.2774 -2.62497e-06 -0.000271742 -1.71304e-05 -0.522514 7.42301e-06 1.57095 -0.00195783
