playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
11.082 0.554701 0.0197591 0.62483 0.554701 -0.000240936 0.62483 9.93333e-05 -0.00147992 -0.00127721 -1.57304 0.00388032 1.57724 0.0305545
11.083 0.554701 0.0197591 0.62483 0.554701 -0.000233268 0.62483 0.000105256 -0.00147995 -0.00126927 -1.57304 0.00388007 1.57724 0.030588
11.084 0.554701 0.0197591 0.62483 0.554701 -0.000218212 0.62483 0.000111289 -0.00148004 -0.00124817 -1.57304 0.00388001 1.57724 0.0306212
11.085 0.554701 0.0197591 0.62483 0.554701 -0.000196023 0.62483 0.000111863 -0.00148016 -0.00120879 -1.57304 0.00388013 1.57724 0.0306541
11.086 0.554701 0.0197591 0.62483 0.554701 -0.00016695 0.62483 0.000101653 -0.00148032 -0.00114627 -1.57304 0.00388041 1.57724 0.0306866
11.087 0.554701 0.0197591 0.62483 0.554701 -0.000131236 0.62483 7.55662e-05 -0.00148048 -0.00105595 -1.57304 0.00388082 1.57724 0.0307188
11.088 0.554701 0.0197591 0.62483 0.554701 -8.91185e-05 0.62483 2.87418e-05 -0.00148064 -0.000933393 -1.57304 0.00388135 1.57724 0.0307507
11.089 0.554701 0.0197591 0.62483 0.554701 -4.08319e-05 0.62483 -4.3459e-05 -0.00148079 -0.000774385 -1.57304 0.00388197 1.57724 0.0307822
11.09 0.554701 0.0197591 0.62483 0.554701 1.33964e-05 0.62483 -0.000145457 -0.00148091 -0.000574916 -1.57304 0.00388267 1.57724 0.0308133
11.091 0.554701 0.0197591 0.62483 0.554701 7.33438e-05 0.62483 -0.000281462 -0.00148099 -0.000331177 -1.57304 0.00388345 1.57724 0.0308442
11.092 0.554701 0.0197591 0.62483 0.554701 0.000138792 0.62483 -0.000455478 -0.00148102 -3.95581e-05 -1.57304 0.00388427 1.57724 0.0308747
11.093 0.554701 0.0197591 0.62483 0.554701 0.000209529 0.62483 -0.000671306 -0.00148099 0.000303361 -1.57304 0.00388513 1.57724 0.0309048
11.094 0.554701 0.0197591 0.62483 0.554701 0.000285346 0.62483 -0.000932556 -0.00148088 0.000700812 -1.57304 0.00388602 1.57724 0.0309346
11.095 0.554701 0.0197591 0.62483 0.554701 0.000366041 0.62483 -0.00124264 -0.0014807 0.00115585 -1.57304 0.00388692 1.57724 0.0309641
11.096 0.554701 0.0197591 0.62483 0.554701 0.000451414 0.62483 -0.00160481 -0.00148042 0.00167134 -1.57304 0.00388782 1.57724 0.0309932
11.097 0.554701 0.0197591 0.62483 0.554701 0.000541272 0.62483 -0.0020221 -0.00148004 0.00225001 -1.57304 0.00388871 1.57724 0.031022
11.098 0.554701 0.0197591 0.62483 0.554701 0.000635425 0.62483 -0.00249739 -0.00147955 0.00289437 -1.57304 0.00388959 1.57724 0.0310504
11.099 0.554701 0.0197591 0.62483 0.554701 0.00073369 0.62483 -0.00303341 -0.00147895 0.00360682 -1.57304 0.00389044 1.57724 0.0310785
11.1 0.554701 0.0197591 0.62483 0.554701 0.000835885 0.62483 -0.00363269 -0.00147823 0.00438957 -1.57304 0.00389125 1.57724 0.0311062
