playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
11.041 0.3 -0.012 0.52 -0.0223041 -0.000711084 0.830888 -0.000531827 -1.04897 -0.00108046 -1.57166 -0.00205519 0.544438 0.0167763
11.042 0.3 -0.012 0.52 -0.0222993 -0.000711224 0.83088 -0.000531706 -1.04898 -0.00108048 -1.57169 -0.00205617 0.544441 0.0168086
11.043 0.3 -0.012 0.52 -0.02229 -0.000711559 0.830866 -0.000531444 -1.049 -0.00108062 -1.57176 -0.0020582 0.544447 0.016841
11.044 0.3 -0.012 0.52 -0.0222762 -0.00071208 0.830844 -0.000530966 -1.04903 -0.00108087 -1.57186 -0.00206129 0.544456 0.0168739
11.045 0.3 -0.012 0.52 -0.0222582 -0.000712776 0.830816 -0.000530204 -1.04907 -0.00108119 -1.572 -0.0020654 0.544468 0.0169077
11.046 0.3 -0.012 0.52 -0.0222361 -0.000713641 0.830782 -0.000529094 -1.04912 -0.00108158 -1.57216 -0.00207052 0.544483 0.0169428
11.047 0.3 -0.012 0.52 -0.02221 -0.000714666 0.830741 -0.000527576 -1.04918 -0.00108202 -1.57236 -0.00207664 0.544501 0.0169794
11.048 0.3 -0.012 0.52 -0.02218 -0.000715845 0.830694 -0.000525597 -1.04924 -0.00108249 -1.57258 -0.00208374 0.544522 0.0170179
11.049 0.3 -0.012 0.52 -0.0221463 -0.000717171 0.830641 -0.000523106 -1.04931 -0.00108298 -1.57283 -0.0020918 0.544547 0.0170586
11.05 0.3 -0.012 0.52 -0.0221091 -0.000718638 0.830583 -0.000520061 -1.0494 -0.00108349 -1.57311 -0.0021008 0.544575 0.0171016
11.051 0.3 -0.012 0.52 -0.0220683 -0.00072024 0.830519 -0.000516418 -1.04949 -0.00108399 -1.57342 -0.00211073 0.544605 0.0171473
11.052 0.3 -0.012 0.52 -0.0220242 -0.000721972 0.83045 -0.000512141 -1.04958 -0.00108449 -1.57375 -0.00212156 0.54464 0.0171959
11.053 0.3 -0.012 0.52 -0.0219769 -0.00072383 0.830376 -0.000507197 -1.04969 -0.00108497 -1.57411 -0.00213328 0.544677 0.0172474
11.054 0.3 -0.012 0.52 -0.0219265 -0.000725808 0.830297 -0.000501556 -1.0498 -0.00108544 -1.57449 -0.00214586 0.544718 0.0173021
11.055 0.3 -0.012 0.52 -0.0218731 -0.000727902 0.830213 -0.000495193 -1.04992 -0.00108588 -1.57489 -0.00215928 0.544762 0.0173601
11.056 0.3 -0.012 0.52 -0.0218168 -0.00073011 0.830124 -0.000488083 -1.05005 -0.00108629 -1.57532 -0.00217354 0.544809 0.0174216
11.057 0.3 -0.012 0.52 -0.0217577 -0.000732426 0.830031 -0.000480208 -1.05018 -0.00108667 -1.57577 -0.00218859 0.54486 0.0174865
11.058 0.3 -0.012 0.52 -0.0216958 -0.000734849 0.829934 -0.000471551 -1.05032 -0.00108701 -1.57624 -0.00220444 0.544915 0.0175551
11.059 0.3 -0.012 0.52 -0.0216314 -0.000737374 0.829833 -0.000462097 -1.05047 -0.00108733 -1.57673 -0.00222105 0.544972 0.0176274
11.06 0.3 -0.012 0.52 -0.0215644 -0.00074 0.829727 -0.000451835 -1.05062 -0.00108761 -1.57724 -0.0022384 0.545033 0.0177035
11.061 0.3 -0.012 0.52 -0.0214951 -0.000742723 0.829618 -0.000440756 -1.05078 -0.00108786 -1.57776 -0.00225648 0.545098 0.0177833
11.062 0.3 -0.012 0.52 -0.0214234 -0.000745542 0.829504 -0.000428853 -1.05095 -0.00108807 -1.57831 -0.00227526 0.545166 0.017867
11.063 0.3 -0.012 0.52 -0.0213494 -0.000748454 0.829387 -0.000416123 -1.05112 -0.00108826 -1.57888 -0.00229472 0.545238 0.0179545
11.064 0.3 -0.012 0.52 -0.0212732 -0.000751457 0.829267 -0.000402562 -1.0513 -0.00108841 -1.57946 -0.00231485 0.545313 0.0180458
11.065 0.3 -0.012 0.52 -0.021195 -0.00075455 0.829143 -0.00038817 -1.05148 -0.00108854 -1.58006 -0.00233562 0.545392 0.018141
11.066 0.3 -0.012 0.52 -0.0211147 -0.000757731 0.829015 -0.00037295 -1.05167 -0.00108865 -1.58067 -0.00235701 0.545474 0.01824
11.067 0.3 -0.012 0.52 -0.0210325 -0.000760998 0.828885 -0.000356904 -1.05186 -0.00108874 -1.58131 -0.00237901 0.545559 0.0183428
11.068 0.3 -0.012 0.52 -0.0209484 -0.00076435 0.828751 -0.000340037 -1.05206 -0.00108881 -1.58195 -0.00240158 0.545649 0.0184494
