playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z obstacle_x obstacle_y obstacle_z distance_norm q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
9.402 0.3 -0.012 0.52 -0.0216206 4.04564e-05 0.830524 0.15 -0.012 0.65 0.249374 -5.13433e-06 -1.04855 -7.45568e-05 -1.57342 0.00054853 0.544427 -0.0198514
9.403 0.3 -0.012 0.52 -0.0216159 4.02554e-05 0.830517 0.15 -0.012 0.65 0.249366 -5.11211e-06 -1.04856 -7.47569e-05 -1.57346 0.000547638 0.54443 -0.0198515
9.404 0.3 -0.012 0.52 -0.0216065 3.98382e-05 0.830502 0.15 -0.012 0.65 0.249349 -5.04227e-06 -1.04858 -7.51273e-05 -1.57353 0.000545648 0.544436 -0.0198516
9.405 0.3 -0.012 0.52 -0.0215928 3.92102e-05 0.830481 0.15 -0.012 0.65 0.249324 -4.92978e-06 -1.04861 -7.56663e-05 -1.57363 0.000542592 0.544445 -0.0198518
9.406 0.3 -0.012 0.52 -0.0215748 3.83765e-05 0.830453 0.15 -0.012 0.65 0.249291 -4.77938e-06 -1.04865 -7.63722e-05 -1.57376 0.000538503 0.544457 -0.019852
9.407 0.3 -0.012 0.52 -0.0215527 3.7342e-05 0.830418 0.15 -0.012 0.65 0.249251 -4.59566e-06 -1.0487 -7.7243e-05 -1.57393 0.000533414 0.544472 -0.0198522
9.408 0.3 -0.012 0.52 -0.0215266 3.61116e-05 0.830377 0.15 -0.012 0.65 0.249203 -4.38302e-06 -1.04875 -7.82772e-05 -1.57412 0.000527355 0.54449 -0.0198525
9.409 0.3 -0.012 0.52 -0.0214966 3.46902e-05 0.83033 0.15 -0.012 0.65 0.249149 -4.14566e-06 -1.04882 -7.94727e-05 -1.57435 0.000520356 0.544511 -0.0198528
9.41 0.3 -0.012 0.52 -0.021463 3.30824e-05 0.830278 0.15 -0.012 0.65 0.249087 -3.88765e-06 -1.04889 -8.08279e-05 -1.5746 0.000512446 0.544536 -0.0198531
9.411 0.3 -0.012 0.52 -0.0214258 3.12927e-05 0.830219 0.15 -0.012 0.65 0.249019 -3.61287e-06 -1.04897 -8.23407e-05 -1.57488 0.000503654 0.544564 -0.0198534
