playtime ee_desired_x ee_desired_y ee_desired_z ee_current_x ee_current_y ee_current_z obstacle_x obstacle_y obstacle_z distance_norm q_joint_1 q_joint_2 q_joint_3 q_joint_4 q_joint_5 q_joint_6 q_joint_7
10.753 0.3 -0.012 0.52 -0.0216201 4.22018e-05 0.830524 0.15 -0.012 0.65 0.249374 -6.60413e-06 -1.04855 -7.55424e-05 -1.57342 0.000564812 0.544427 -0.0194051
10.754 0.3 -0.012 0.52 -0.0216154 4.19805e-05 0.830516 0.15 -0.012 0.65 0.249365 -6.55207e-06 -1.04856 -7.5715e-05 -1.57346 0.000563682 0.54443 -0.0194053
10.755 0.3 -0.012 0.52 -0.0216061 4.15435e-05 0.830502 0.15 -0.012 0.65 0.249348 -6.45302e-06 -1.04858 -7.60584e-05 -1.57353 0.000561457 0.544436 -0.0194054
10.756 0.3 -0.012 0.52 -0.0215924 4.08958e-05 0.83048 0.15 -0.012 0.65 0.249323 -6.31192e-06 -1.04861 -7.65708e-05 -1.57363 0.00055817 0.544445 -0.0194056
10.757 0.3 -0.012 0.52 -0.0215744 4.00428e-05 0.830452 0.15 -0.012 0.65 0.24929 -6.13354e-06 -1.04865 -7.72506e-05 -1.57376 0.000553855 0.544457 -0.0194058
10.758 0.3 -0.012 0.52 -0.0215522 3.89893e-05 0.830418 0.15 -0.012 0.65 0.24925 -5.92243e-06 -1.0487 -7.8096e-05 -1.57393 0.000548542 0.544472 -0.0194061
10.759 0.3 -0.012 0.52 -0.0215261 3.77402e-05 0.830377 0.15 -0.012 0.65 0.249203 -5.68299e-06 -1.04875 -7.9105e-05 -1.57412 0.000542264 0.54449 -0.0194064
10.76 0.3 -0.012 0.52 -0.0214962 3.63004e-05 0.83033 0.15 -0.012 0.65 0.249148 -5.41942e-06 -1.04882 -8.0276e-05 -1.57435 0.00053505 0.544511 -0.0194067
10.761 0.3 -0.012 0.52 -0.0214625 3.46745e-05 0.830277 0.15 -0.012 0.65 0.249087 -5.13578e-06 -1.04889 -8.16071e-05 -1.5746 0.000526929 0.544536 -0.019407
10.762 0.3 -0.012 0.52 -0.0214253 3.2867e-05 0.830219 0.15 -0.012 0.65 0.249019 -4.83595e-06 -1.04897 -8.30965e-05 -1.57488 0.000517929 0.544564 -0.0194073
10.763 0.3 -0.012 0.52 -0.0213846 3.08823e-05 0.830155 0.15 -0.012 0.65 0.248945 -4.52363e-06 -1.04906 -8.47422e-05 -1.57518 0.000508077 0.544595 -0.0194077
10.764 0.3 -0.012 0.52 -0.0213406 2.87248e-05 0.830086 0.15 -0.012 0.65 0.248864 -4.2024e-06 -1.04916 -8.65424e-05 -1.57552 0.0004974 0.544629 -0.0194081
10.765 0.3 -0.012 0.52 -0.0212933 2.63987e-05 0.830012 0.15 -0.012 0.65 0.248778 -3.87566e-06 -1.04927 -8.84953e-05 -1.57587 0.000485923 0.544666 -0.0194086
10.766 0.3 -0.012 0.52 -0.0212429 2.39082e-05 0.829933 0.15 -0.012 0.65 0.248686 -3.54668e-06 -1.04938 -9.0599e-05 -1.57625 0.000473673 0.544707 -0.019409
10.767 0.3 -0.012 0.52 -0.0211896 2.12572e-05 0.829849 0.15 -0.012 0.65 0.248588 -3.21857e-06 -1.0495 -9.28515e-05 -1.57666 0.000460672 0.544751 -0.0194095
10.768 0.3 -0.012 0.52 -0.0211333 1.84497e-05 0.829761 0.15 -0.012 0.65 0.248485 -2.89433e-06 -1.04962 -9.5251e-05 -1.57708 0.000446944 0.544799 -0.0194099
10.769 0.3 -0.012 0.52 -0.0210743 1.54895e-05 0.829668 0.15 -0.012 0.65 0.248377 -2.5768e-06 -1.04976 -9.77956e-05 -1.57753 0.000432512 0.54485 -0.0194104
10.77 0.3 -0.012 0.52 -0.0210125 1.23804e-05 0.82957 0.15 -0.012 0.65 0.248264 -2.2687e-06 -1.0499 -0.000100483 -1.578 0.000417398 0.544904 -0.019411
10.771 0.3 -0.012 0.52 -0.0209481 9.126e-06 0.829469 0.15 -0.012 0.65 0.248146 -1.97262e-06 -1.05004 -0.000103313 -1.57849 0.000401624 0.544962 -0.0194115
10.772 0.3 -0.012 0.52 -0.0208813 5.72985e-06 0.829363 0.15 -0.012 0.65 0.248024 -1.69104e-06 -1.05019 -0.000106281 -1.57899 0.000385211 0.545024 -0.019412
10.773 0.3 -0.012 0.52 -0.020812 2.19542e-06 0.829254 0.15 -0.012 0.65 0.247896 -1.42631e-06 -1.05035 -0.000109387 -1.57952 0.000368178 0.545088 -0.0194126
10.774 0.3 -0.012 0.52 -0.0207403 -1.47388e-06 0.82914 0.15 -0.012 0.65 0.247765 -1.18068e-06 -1.05052 -0.000112629 -1.58007 0.000350545 0.545157 -0.0194131
10.775 0.3 -0.012 0.52 -0.0206665 -5.27476e-06 0.829023 0.15 -0.012 0.65 0.247629 -9.56264e-07 -1.05069 -0.000116005 -1.58063 0.000332331 0.545228 -0.0194137
10.776 0.3 -0.012 0.52 -0.0205904 -9.204e-06 0.828903 0.15 -0.012 0.65 0.24749 -7.55097e-07 -1.05086 -0.000119513 -1.58121 0.000313555 0.545304 -0.0194143
10.777 0.3 -0.012 0.52 -0.0205123 -1.32585e-05 0.828779 0.15 -0.012 0.65 0.247346 -5.79097e-07 -1.05105 -0.000123152 -1.58181 0.000294235 0.545383 -0.0194149
10.778 0.3 -0.012 0.52 -0.0204321 -1.7435e-05 0.828651 0.15 -0.012 0.65 0.247198 -4.30085e-07 -1.05123 -0.000126918 -1.58243 0.000274388 0.545465 -0.0194155
10.779 0.3 -0.012 0.52 -0.02035 -2.17308e-05 0.828521 0.15 -0.012 0.65 0.247047 -3.09787e-07 -1.05143 -0.000130811 -1.58306 0.00025403 0.545551 -0.0194161
10.78 0.3 -0.012 0.52 -0.020266 -2.61428e-05 0.828387 0.15 -0.012 0.65 0.246892 -2.19836e-07 -1.05162 -0.000134829 -1.5837 0.000233179 0.54564 -0.0194168
10.781 0.3 -0.012 0.52 -0.0201802 -3.06682e-05 0.828251 0.15 -0.012 0.65 0.246734 -1.61772e-07 -1.05183 -0.000138971 -1.58436 0.000211851 0.545733 -0.0194174
10.782 0.3 -0.012 0.52 -0.0200926 -3.53043e-05 0.828111 0.15 -0.012 0.65 0.246573 -1.37054e-07 -1.05203 -0.000143233 -1.58504 0.00019006 0.54583 -0.019418
10.783 0.3 -0.012 0.52 -0.0200034 -4.00482e-05 0.827969 0.15 -0.012 0.65 0.246408 -1.47055e-07 -1.05225 -0.000147615 -1.58573 0.000167821 0.54593 -0.0194187
10.784 0.3 -0.012 0.52 -0.0199126 -4.48975e-05 0.827823 0.15 -0.012 0.65 0.246241 -1.93066e-07 -1.05246 -0.000152115 -1.58643 0.00014515 0.546034 -0.0194193
10.785 0.3 -0.012 0.52 -0.0198202 -4.98495e-05 0.827676 0.15 -0.012 0.65 0.24607 -2.76303e-07 -1.05269 -0.000156731 -1.58715 0.00012206 0.546141 -0.01942
10.786 0.3 -0.012 0.52 -0.0197263 -5.49017e-05 0.827525 0.15 -0.012 0.65 0.245896 -3.97906e-07 -1.05291 -0.000161462 -1.58787 9.85654e-05 0.546252 -0.0194206
10.787 0.3 -0.012 0.52 -0.0196309 -6.00517e-05 0.827373 0.15 -0.012 0.65 0.24572 -5.58945e-07 -1.05314 -0.000166306 -1.58861 7.46791e-05 0.546367 -0.0194213
10.788 0.3 -0.012 0.52 -0.0195341 -6.52971e-05 0.827217 0.15 -0.012 0.65 0.245541 -7.60419e-07 -1.05338 -0.00017126 -1.58937 5.0414e-05 0.546485 -0.0194219
10.789 0.3 -0.012 0.52 -0.0194361 -7.06356e-05 0.82706 0.15 -0.012 0.65 0.245359 -1.00326e-06 -1.05362 -0.000176325 -1.59013 2.57829e-05 0.546606 -0.0194226
10.79 0.3 -0.012 0.52 -0.0193367 -7.60649e-05 0.8269 0.15 -0.012 0.65 0.245175 -1.28834e-06 -1.05386 -0.000181497 -1.59091 7.97839e-07 0.546732 -0.0194233
10.791 0.3 -0.012 0.52 -0.019236 -8.15829e-05 0.826738 0.15 -0.012 0.65 0.244988 -1.61646e-06 -1.05411 -0.000186776 -1.59169 -2.45293e-05 0.546861 -0.0194239
10.792 0.3 -0.012 0.52 -0.0191342 -8.71873e-05 0.826574 0.15 -0.012 0.65 0.244799 -1.98837e-06 -1.05436 -0.00019216 -1.59249 -5.0187e-05 0.546993 -0.0194246
10.793 0.3 -0.012 0.52 -0.0190312 -9.28761e-05 0.826408 0.15 -0.012 0.65 0.244608 -2.40477e-06 -1.05461 -0.000197647 -1.59329 -7.61641e-05 0.54713 -0.0194253
10.794 0.3 -0.012 0.52 -0.0189271 -9.86472e-05 0.82624 0.15 -0.012 0.65 0.244414 -2.86629e-06 -1.05487 -0.000203236 -1.59411 -0.00010245 0.547269 -0.019426
10.795 0.3 -0.012 0.52 -0.0188219 -0.000104499 0.82607 0.15 -0.012 0.65 0.244219 -3.37351e-06 -1.05513 -0.000208926 -1.59494 -0.000129033 0.547413 -0.0194266
10.796 0.3 -0.012 0.52 -0.0187157 -0.000110429 0.825898 0.15 -0.012 0.65 0.244021 -3.92697e-06 -1.0554 -0.000214714 -1.59577 -0.000155905 0.54756 -0.0194273
10.797 0.3 -0.012 0.52 -0.0186085 -0.000116435 0.825724 0.15 -0.012 0.65 0.243822 -4.52715e-06 -1.05567 -0.0002206 -1.59661 -0.000183054 0.54771 -0.019428
10.798 0.3 -0.012 0.52 -0.0185004 -0.000122516 0.825549 0.15 -0.012 0.65 0.24362 -5.1745e-06 -1.05594 -0.000226582 -1.59747 -0.000210472 0.547864 -0.0194286
10.799 0.3 -0.012 0.52 -0.0183913 -0.00012867 0.825372 0.15 -0.012 0.65 0.243417 -5.8694e-06 -1.05622 -0.000232659 -1.59833 -0.000238148 0.548022 -0.0194293
10.8 0.3 -0.012 0.52 -0.0182814 -0.000134895 0.825193 0.15 -0.012 0.65 0.243212 -6.61222e-06 -1.0565 -0.000238829 -1.5992 -0.000266074 0.548184 -0.01943
10.801 0.3 -0.012 0.52 -0.0181706 -0.00014119 0.825013 0.15 -0.012 0.65 0.243005 -7.40325e-06 -1.05678 -0.000245091 -1.60007 -0.000294241 0.548348 -0.0194307
10.802 0.3 -0.012 0.52 -0.018059 -0.000147552 0.824831 0.15 -0.012 0.65 0.242797 -8.24279e-06 -1.05706 -0.000251444 -1.60096 -0.00032264 0.548517 -0.0194313
10.803 0.3 -0.012 0.52 -0.0179466 -0.000153981 0.824648 0.15 -0.012 0.65 0.242587 -9.13105e-06 -1.05735 -0.000257887 -1.60185 -0.000351263 0.548689 -0.019432
10.804 0.3 -0.012 0.52 -0.0178335 -0.000160474 0.824463 0.15 -0.012 0.65 0.242375 -1.00682e-05 -1.05764 -0.000264417 -1.60275 -0.000380102 0.548865 -0.0194326
10.805 0.3 -0.012 0.52 -0.0177196 -0.00016703 0.824277 0.15 -0.012 0.65 0.242162 -1.10545e-05 -1.05794 -0.000271034 -1.60365 -0.000409148 0.549044 -0.0194333
