step,contact_force_magnitude,fs_force_x,fs_force_y,fs_force_z,fs_torque_x,fs_torque_y,fs_torque_z,osc_torque_j1,ft_torque_j1,diff_torque_j1,osc_torque_j2,ft_torque_j2,diff_torque_j2,osc_torque_j3,ft_torque_j3,diff_torque_j3,osc_torque_j4,ft_torque_j4,diff_torque_j4,osc_torque_j5,ft_torque_j5,diff_torque_j5,osc_torque_j6,ft_torque_j6,diff_torque_j6,osc_torque_j7,ft_torque_j7,diff_torque_j7
10,0.0,2.673675775527954,-6.406076431274414,-0.15876953303813934,0.21538518369197845,0.07447493821382523,0.04424960911273956,9.758243560791016,10.898980140686035,-1.1407365798950195,1.3236945867538452,0.9642297029495239,0.3594648838043213,11.36982536315918,13.040606498718262,-1.670781135559082,6.993194580078125,7.86894416809082,-0.8757495880126953,-2.3578968048095703,-1.8712341785430908,-0.4866626262664795,0.6973136067390442,0.859304666519165,-0.16199105978012085,0.554770827293396,-0.05847814679145813,0.6132489442825317
20,0.0,1.0666122436523438,-3.123873710632324,0.31884488463401794,0.1031777635216713,0.031079038977622986,0.0736168920993805,4.76576042175293,5.18418550491333,-0.4184250831604004,3.3624768257141113,3.2594165802001953,0.10306024551391602,4.90039587020874,5.3450775146484375,-0.44468164443969727,2.8877644538879395,3.2622079849243164,-0.37444353103637695,-0.3710283637046814,-0.4098546504974365,0.03882628679275513,0.27694541215896606,0.335907906293869,-0.058962494134902954,0.16323977708816528,0.17142949998378754,-0.008189722895622253
30,0.0,0.24779704213142395,-1.1294034719467163,0.6176928281784058,0.0378459095954895,0.008624929934740067,0.020680470392107964,1.2765511274337769,1.5378361940383911,-0.26128506660461426,3.67069935798645,3.664868116378784,0.005831241607666016,1.359688401222229,1.6330509185791016,-0.27336251735687256,0.4203290343284607,0.5872000455856323,-0.16687101125717163,-0.09867508709430695,-0.11305604875087738,0.014380961656570435,-0.04878975450992584,-0.023133229464292526,-0.025656525045633316,0.04265442118048668,0.04097218066453934,0.001682240515947342
40,0.0,0.025499675422906876,-0.16698652505874634,0.7620586156845093,0.0053699142299592495,0.004739577881991863,0.006888524163514376,-0.5215654373168945,-0.39437365531921387,-0.12719178199768066,3.691586971282959,3.6945958137512207,-0.0030088424682617188,-0.5297352075576782,-0.39681702852249146,-0.13291817903518677,-0.66329026222229,-0.5956242084503174,-0.06766605377197266,-0.012492204084992409,-0.01771075278520584,0.005218548700213432,-0.2277463674545288,-0.21537244319915771,-0.012373924255371094,0.022160779684782028,0.021522056311368942,0.0006387233734130859
50,0.0,-0.01818196289241314,0.08875950425863266,0.7923776507377625,-0.003399268025532365,0.0049469973891973495,0.0015638649929314852,-1.0102288722991943,-0.9117476940155029,-0.0984811782836914,3.6753032207489014,3.6847479343414307,-0.009444713592529297,-1.0343928337097168,-0.9331948757171631,-0.10119795799255371,-0.9592947959899902,-0.923133134841919,-0.03616166114807129,-0.009079830721020699,-0.014544470235705376,0.005464639514684677,-0.2684670388698578,-0.25968465209007263,-0.008782386779785156,0.011400949209928513,0.009450104087591171,0.0019508451223373413
60,0.0,-0.005058118607848883,0.2720620930194855,0.7975044846534729,-0.009207100607454777,0.006657133344560862,-0.001808129483833909,-1.3283228874206543,-1.324623703956604,-0.003699183464050293,3.6113109588623047,3.6194496154785156,-0.008138656616210938,-1.3443728685379028,-1.3478187322616577,0.003445863723754883,-1.0403250455856323,-1.047276258468628,0.0069512128829956055,0.0001128949224948883,0.00032335208379663527,-0.00021045716130174696,-0.2811647653579712,-0.2805137038230896,-0.0006510615348815918,0.005038212053477764,0.002564319409430027,0.002473892644047737
70,0.0,0.015646670013666153,0.2029959261417389,0.769156813621521,-0.006597049999982119,0.0075955321080982685,-0.0006923048640601337,-1.1957429647445679,-1.218853235244751,0.023110270500183105,3.5585124492645264,3.5646986961364746,-0.006186246871948242,-1.166508436203003,-1.1986292600631714,0.03212082386016846,-0.919894278049469,-0.9320776462554932,0.01218336820602417,-0.013479504734277725,-0.010075447149574757,-0.0034040575847029686,-0.2539497911930084,-0.2557942867279053,0.0018444955348968506,0.0009121092152781785,0.004344351589679718,-0.0034322424326092005
80,0.0,0.02197331190109253,0.07515770196914673,0.7358530759811401,-0.0020598298870027065,0.007520636543631554,-0.001515492214821279,-0.917919397354126,-0.9444370865821838,0.02651768922805786,3.4986624717712402,3.50827956199646,-0.009617090225219727,-0.8265128135681152,-0.8609625697135925,0.034449756145477295,-0.739639163017273,-0.7579875588417053,0.018348395824432373,-0.031269412487745285,-0.030201496556401253,-0.0010679159313440323,-0.21741220355033875,-0.22261366248130798,0.005201458930969238,0.0012939724838361144,-0.0033468706533312798,0.004640843253582716
90,0.0,0.015877580270171165,-0.27210649847984314,0.6843783855438232,0.009771764278411865,0.006613024044781923,0.0024019561242312193,-0.2703712582588196,-0.2005634754896164,-0.06980778276920319,3.431055784225464,3.4478461742401123,-0.016790390014648438,-0.10572712123394012,-0.0350959487259388,-0.07063117623329163,-0.45311439037323,-0.4475623071193695,-0.005552083253860474,-0.07958704233169556,-0.0832844004034996,0.0036973580718040466,-0.15525370836257935,-0.14842528104782104,-0.006828427314758301,-0.0004879271436948329,-0.000367142230970785,-0.0001207849127240479
100,0.0,0.026249898597598076,-0.044313810765743256,0.6875956654548645,0.0019927232060581446,0.0073087820783257484,0.0002993880771100521,-0.7919155955314636,-0.7692669630050659,-0.022648632526397705,3.260575771331787,3.2775542736053467,-0.01697850227355957,-0.6784939169883728,-0.6513389945030212,-0.027154922485351562,-0.3525394797325134,-0.3672225773334503,0.01468309760093689,-0.05669781565666199,-0.056602843105793,-9.497255086898804e-05,-0.1871289610862732,-0.18649497628211975,-0.0006339848041534424,0.0005305436789058149,-0.0005679610185325146,0.0010985047556459904
110,0.0,0.02849273383617401,0.0013731311773881316,0.7053266167640686,0.0002829112927429378,0.007795603014528751,1.2293200597923715e-05,-0.7967463135719299,-0.8247671127319336,0.028020799160003662,3.2639803886413574,3.24621844291687,0.017761945724487305,-0.8193807601928711,-0.8343321681022644,0.01495140790939331,-0.23803526163101196,-0.22793841361999512,-0.010096848011016846,-0.04362112283706665,-0.0480211079120636,0.004399985074996948,-0.20512866973876953,-0.2005671113729477,-0.004561558365821838,0.0010617742082104087,-0.00021229131380096078,0.0012740655802190304
120,0.0,0.059414930641651154,0.02468613162636757,0.8648054599761963,-0.00014612260565627366,0.010722236707806587,-8.191941742552444e-05,-0.09904652833938599,-0.19028590619564056,0.09123937785625458,3.889458417892456,3.815767526626587,0.07369089126586914,-0.3551420569419861,-0.42819857597351074,0.07305651903152466,-0.6786644458770752,-0.6118735074996948,-0.06679093837738037,0.048354603350162506,0.03746066242456436,0.010893940925598145,-0.2537761330604553,-0.24948057532310486,-0.004295557737350464,0.00089441699674353,0.00011723518400685862,0.000777181820012629
