step,contact_force_magnitude,fs_force_x,fs_force_y,fs_force_z,fs_torque_x,fs_torque_y,fs_torque_z,osc_torque_j1,ft_torque_j1,diff_torque_j1,osc_torque_j2,ft_torque_j2,diff_torque_j2,osc_torque_j3,ft_torque_j3,diff_torque_j3,osc_torque_j4,ft_torque_j4,diff_torque_j4,osc_torque_j5,ft_torque_j5,diff_torque_j5,osc_torque_j6,ft_torque_j6,diff_torque_j6,osc_torque_j7,ft_torque_j7,diff_torque_j7
5,0.0,5.083017826080322,-14.347451210021973,-0.7283778190612793,0.4994526505470276,0.17026343941688538,0.07769594341516495,19.15719223022461,24.042827606201172,-4.8856353759765625,-0.42872780561447144,-0.47312936186790466,0.04440155625343323,24.050039291381836,29.665794372558594,-5.615755081176758,10.745987892150879,11.581940650939941,-0.8359527587890625,-5.900064468383789,-4.443580150604248,-1.456484317779541,1.429728627204895,1.6336889266967773,-0.20396029949188232,0.5054702758789062,-0.21292302012443542,0.7183933258056641
10,0.0,2.673675775527954,-6.406076431274414,-0.15876953303813934,0.21538518369197845,0.07447493821382523,0.04424960911273956,9.758243560791016,10.898980140686035,-1.1407365798950195,1.3236945867538452,0.9642297029495239,0.3594648838043213,11.36982536315918,13.040606498718262,-1.670781135559082,6.993194580078125,7.86894416809082,-0.8757495880126953,-2.3578968048095703,-1.8712341785430908,-0.4866626262664795,0.6973136067390442,0.859304666519165,-0.16199105978012085,0.554770827293396,-0.05847814679145813,0.6132489442825317
15,0.0,1.5494259595870972,-3.9430105686187744,0.196596160531044,0.1303037852048874,0.04143821448087692,0.059407252818346024,6.678661346435547,6.987954139709473,-0.3092927932739258,2.753906488418579,2.611567974090576,0.14233851432800293,6.874497890472412,7.277603626251221,-0.4031057357788086,4.574199199676514,4.8565592765808105,-0.2823600769042969,-0.7106977701187134,-0.8323262333869934,0.12162846326828003,0.44531774520874023,0.46529871225357056,-0.019980967044830322,0.4594198763370514,0.08698239922523499,0.3724374771118164
20,0.0,1.0666122436523438,-3.123873710632324,0.31884488463401794,0.1031777635216713,0.031079038977622986,0.0736168920993805,4.76576042175293,5.18418550491333,-0.4184250831604004,3.3624768257141113,3.2594165802001953,0.10306024551391602,4.90039587020874,5.3450775146484375,-0.44468164443969727,2.8877644538879395,3.2622079849243164,-0.37444353103637695,-0.3710283637046814,-0.4098546504974365,0.03882628679275513,0.27694541215896606,0.335907906293869,-0.058962494134902954,0.16323977708816528,0.17142949998378754,-0.008189722895622253
25,0.0,0.5375782251358032,-1.9457929134368896,0.4956310987472534,0.06530790776014328,0.015877706930041313,0.03492354229092598,2.7756965160369873,3.138314962387085,-0.36261844635009766,3.5906293392181396,3.5711610317230225,0.019468307495117188,2.899597644805908,3.269927740097046,-0.3703300952911377,1.431464672088623,1.6865154504776,-0.25505077838897705,-0.1956491470336914,-0.2181122750043869,0.022463127970695496,0.10063554346561432,0.1384703367948532,-0.03783479332923889,0.0601840615272522,0.0667949989438057,-0.006610937416553497
30,0.0,0.24779704213142395,-1.1294034719467163,0.6176928281784058,0.0378459095954895,0.008624929934740067,0.020680470392107964,1.2765511274337769,1.5378361940383911,-0.26128506660461426,3.67069935798645,3.664868116378784,0.005831241607666016,1.359688401222229,1.6330509185791016,-0.27336251735687256,0.4203290343284607,0.5872000455856323,-0.16687101125717163,-0.09867508709430695,-0.11305604875087738,0.014380961656570435,-0.04878975450992584,-0.023133229464292526,-0.025656525045633316,0.04265442118048668,0.04097218066453934,0.001682240515947342
35,0.0,0.0995263159275055,-0.5620999336242676,0.7040274143218994,0.018697818741202354,0.00569895887747407,0.012955999933183193,0.21672075986862183,0.3988124430179596,-0.18209168314933777,3.6958529949188232,3.695777177810669,7.581710815429688e-05,0.24897980690002441,0.44007471203804016,-0.19109490513801575,-0.24233661592006683,-0.13478435575962067,-0.10755226016044617,-0.04470899701118469,-0.052589818835258484,0.007880821824073792,-0.15559706091880798,-0.1375352442264557,-0.018061816692352295,0.030526872724294662,0.031128957867622375,-0.000602085143327713
40,0.0,0.025499675422906876,-0.16698652505874634,0.7620586156845093,0.0053699142299592495,0.004739577881991863,0.006888524163514376,-0.5215654373168945,-0.39437365531921387,-0.12719178199768066,3.691586971282959,3.6945958137512207,-0.0030088424682617188,-0.5297352075576782,-0.39681702852249146,-0.13291817903518677,-0.66329026222229,-0.5956242084503174,-0.06766605377197266,-0.012492204084992409,-0.01771075278520584,0.005218548700213432,-0.2277463674545288,-0.21537244319915771,-0.012373924255371094,0.022160779684782028,0.021522056311368942,0.0006387233734130859
45,0.0,-0.005203589331358671,0.09891058504581451,0.7965378165245056,-0.0035703128669410944,0.004873408004641533,0.0032341976184397936,-1.0288453102111816,-0.9437840580940247,-0.08506125211715698,3.6745057106018066,3.6791231632232666,-0.004617452621459961,-1.064557433128357,-0.978854238986969,-0.08570319414138794,-0.9218534827232361,-0.8812565207481384,-0.040596961975097656,0.007056023925542831,0.004025510512292385,0.0030305134132504463,-0.2759624123573303,-0.26468849182128906,-0.01127392053604126,0.015418357215821743,0.016636425629258156,-0.0012180684134364128
50,0.0,-0.01818196289241314,0.08875950425863266,0.7923776507377625,-0.003399268025532365,0.0049469973891973495,0.0015638649929314852,-1.0102288722991943,-0.9117476940155029,-0.0984811782836914,3.6753032207489014,3.6847479343414307,-0.009444713592529297,-1.0343928337097168,-0.9331948757171631,-0.10119795799255371,-0.9592947959899902,-0.923133134841919,-0.03616166114807129,-0.009079830721020699,-0.014544470235705376,0.005464639514684677,-0.2684670388698578,-0.25968465209007263,-0.008782386779785156,0.011400949209928513,0.009450104087591171,0.0019508451223373413
55,0.0,-0.012485969811677933,0.23580989241600037,0.8015221357345581,-0.008124289102852345,0.006013813428580761,-0.0007583239930681884,-1.2630996704101562,-1.2339434623718262,-0.029156208038330078,3.6392292976379395,3.645117998123169,-0.005888700485229492,-1.2906537055969238,-1.2653001546859741,-0.025353550910949707,-1.0432775020599365,-1.0334206819534302,-0.009856820106506348,-0.0015600845217704773,-0.002368632471188903,0.0008085479494184256,-0.282245010137558,-0.2793552577495575,-0.0028897523880004883,0.005756088066846132,0.005497313570231199,0.000258774496614933
60,0.0,-0.005058118607848883,0.2720620930194855,0.7975044846534729,-0.009207100607454777,0.006657133344560862,-0.001808129483833909,-1.3283228874206543,-1.324623703956604,-0.003699183464050293,3.6113109588623047,3.6194496154785156,-0.008138656616210938,-1.3443728685379028,-1.3478187322616577,0.003445863723754883,-1.0403250455856323,-1.047276258468628,0.0069512128829956055,0.0001128949224948883,0.00032335208379663527,-0.00021045716130174696,-0.2811647653579712,-0.2805137038230896,-0.0006510615348815918,0.005038212053477764,0.002564319409430027,0.002473892644047737
65,0.0,0.005647380370646715,0.25681570172309875,0.7856268286705017,-0.00853426568210125,0.007213783450424671,-0.0023772595450282097,-1.292150855064392,-1.302870273590088,0.0107194185256958,3.583376407623291,3.5888917446136475,-0.005515336990356445,-1.2883214950561523,-1.3055094480514526,0.017187952995300293,-0.9919031262397766,-1.0000337362289429,0.00813060998916626,-0.005677684210240841,-0.0048780241049826145,-0.0007996601052582264,-0.2687107026576996,-0.27090755105018616,0.0021968483924865723,0.0026003236416727304,-0.00024363826378248632,0.0028439618181437254
70,0.0,0.015646670013666153,0.2029959261417389,0.769156813621521,-0.006597049999982119,0.0075955321080982685,-0.0006923048640601337,-1.1957429647445679,-1.218853235244751,0.023110270500183105,3.5585124492645264,3.5646986961364746,-0.006186246871948242,-1.166508436203003,-1.1986292600631714,0.03212082386016846,-0.919894278049469,-0.9320776462554932,0.01218336820602417,-0.013479504734277725,-0.010075447149574757,-0.0034040575847029686,-0.2539497911930084,-0.2557942867279053,0.0018444955348968506,0.0009121092152781785,0.004344351589679718,-0.0034322424326092005
75,0.0,0.02494402416050434,0.13972978293895721,0.7490203976631165,-0.004253463353961706,0.00796687975525856,-0.001523463986814022,-1.0642460584640503,-1.0919491052627563,0.027703046798706055,3.5329065322875977,3.5387258529663086,-0.0058193206787109375,-1.0054619312286377,-1.0442858934402466,0.03882396221160889,-0.8368393778800964,-0.8519768118858337,0.015137434005737305,-0.02242044359445572,-0.02133900672197342,-0.0010814368724822998,-0.2369292676448822,-0.23572005331516266,-0.0012092143297195435,0.00047242961591109633,-0.0011738529428839684,0.0016462826170027256
80,0.0,0.02197331190109253,0.07515770196914673,0.7358530759811401,-0.0020598298870027065,0.007520636543631554,-0.001515492214821279,-0.917919397354126,-0.9444370865821838,0.02651768922805786,3.4986624717712402,3.50827956199646,-0.009617090225219727,-0.8265128135681152,-0.8609625697135925,0.034449756145477295,-0.739639163017273,-0.7579875588417053,0.018348395824432373,-0.031269412487745285,-0.030201496556401253,-0.0010679159313440323,-0.21741220355033875,-0.22261366248130798,0.005201458930969238,0.0012939724838361144,-0.0033468706533312798,0.004640843253582716
85,0.0,0.030362354591488838,-0.07231585681438446,0.7044704556465149,0.00312466430477798,0.007701694034039974,0.0003829631023108959,-0.2874909043312073,-0.6564397811889648,0.36894887685775757,3.4610865116119385,3.4718267917633057,-0.010740280151367188,-0.13709422945976257,-0.5322743654251099,0.3951801359653473,-0.487562358379364,-0.6172195672988892,0.12965720891952515,-0.07833600044250488,-0.051732126623392105,-0.026603873819112778,-0.14147058129310608,-0.18572568893432617,0.04425510764122009,-0.0006671882001683116,-0.0012300857342779636,0.000562897534109652
90,0.0,0.015877580270171165,-0.27210649847984314,0.6843783855438232,0.009771764278411865,0.006613024044781923,0.0024019561242312193,-0.2703712582588196,-0.2005634754896164,-0.06980778276920319,3.431055784225464,3.4478461742401123,-0.016790390014648438,-0.10572712123394012,-0.0350959487259388,-0.07063117623329163,-0.45311439037323,-0.4475623071193695,-0.005552083253860474,-0.07958704233169556,-0.0832844004034996,0.0036973580718040466,-0.15525370836257935,-0.14842528104782104,-0.006828427314758301,-0.0004879271436948329,-0.000367142230970785,-0.0001207849127240479
95,0.0,0.021737879142165184,-0.11730854213237762,0.6912400722503662,0.004477038513869047,0.007028546649962664,0.0014372660079970956,-0.627913236618042,-0.5712529420852661,-0.05666029453277588,3.343083381652832,3.3612828254699707,-0.018199443817138672,-0.48350653052330017,-0.42544275522232056,-0.058063775300979614,-0.4373253285884857,-0.44023019075393677,0.00290486216545105,-0.0610879622399807,-0.06223500519990921,0.0011470429599285126,-0.18064506351947784,-0.17601171135902405,-0.004633352160453796,-0.0005611864617094398,0.0013218952808529139,-0.0018830817425623536
100,0.0,0.026249898597598076,-0.044313810765743256,0.6875956654548645,0.0019927232060581446,0.0073087820783257484,0.0002993880771100521,-0.7919155955314636,-0.7692669630050659,-0.022648632526397705,3.260575771331787,3.2775542736053467,-0.01697850227355957,-0.6784939169883728,-0.6513389945030212,-0.027154922485351562,-0.3525394797325134,-0.3672225773334503,0.01468309760093689,-0.05669781565666199,-0.056602843105793,-9.497255086898804e-05,-0.1871289610862732,-0.18649497628211975,-0.0006339848041534424,0.0005305436789058149,-0.0005679610185325146,0.0010985047556459904
105,0.0,0.026589082553982735,-0.03384130448102951,0.684731662273407,0.0015852208016440272,0.007391792256385088,0.00025517476024106145,-0.8321607708930969,-0.8114535212516785,-0.020707249641418457,3.213409662246704,3.223606824874878,-0.010197162628173828,-0.7713491916656494,-0.7435763478279114,-0.027772843837738037,-0.25984418392181396,-0.26882994174957275,0.008985757827758789,-0.057069458067417145,-0.058683913201093674,0.001614455133676529,-0.19222763180732727,-0.18718841671943665,-0.005039215087890625,0.0002100519632222131,-0.0004225058073643595,0.0006325577851384878
110,0.0,0.02849273383617401,0.0013731311773881316,0.7053266167640686,0.0002829112927429378,0.007795603014528751,1.2293200597923715e-05,-0.7967463135719299,-0.8247671127319336,0.028020799160003662,3.2639803886413574,3.24621844291687,0.017761945724487305,-0.8193807601928711,-0.8343321681022644,0.01495140790939331,-0.23803526163101196,-0.22793841361999512,-0.010096848011016846,-0.04362112283706665,-0.0480211079120636,0.004399985074996948,-0.20512866973876953,-0.2005671113729477,-0.004561558365821838,0.0010617742082104087,-0.00021229131380096078,0.0012740655802190304
115,0.0,0.038865525275468826,0.020958224311470985,0.769591748714447,-0.00039518254925496876,0.009032150730490685,6.253859464777634e-05,-0.5310670137405396,-0.6024459600448608,0.07137894630432129,3.508028507232666,3.450432300567627,0.05759620666503906,-0.6623011231422424,-0.7158685326576233,0.05356740951538086,-0.38063719868659973,-0.33415454626083374,-0.04648265242576599,-0.007492476142942905,-0.017436577007174492,0.009944100864231586,-0.22845757007598877,-0.22300036251544952,-0.005457207560539246,0.00010076422768179327,0.0005271399859338999,-0.00042637577280402184
