step,joint2_commanded(applied),joint2_external,joint2_external_g,joint2_acc,joint4_commanded(applied),joint4_external,joint4_external_g,joint4_acc,joint6_commanded(applied),joint6_external,joint6_external_g,joint6_acc,contact_force_x,contact_force_y,contact_force_z,contact_force_magnitude,fs_force_x_raw,fs_force_y_raw,fs_force_z_raw,fs_torque_x_raw,fs_torque_y_raw,fs_torque_z_raw,link_data[joint2_force_x_raw],link_data[joint2_force_y_raw],link_data[joint2_force_z_raw],link_data[joint2_torque_x_raw],link_data[joint2_torque_y_raw],link_data[joint2_torque_z_raw],osc_torque_j1,osc_torque_j2,osc_torque_j3,osc_torque_j4,osc_torque_j5,osc_torque_j6,osc_torque_j7,joint_pos_j1,joint_vel_j1,joint_pos_j2,joint_vel_j2,joint_pos_j3,joint_vel_j3,joint_pos_j4,joint_vel_j4,joint_pos_j5,joint_vel_j5,joint_pos_j6,joint_vel_j6,joint_pos_j7,joint_vel_j7
5,-0.5790541172027588,0.8687677383422852,-9.794642448425293,0.0,11.203865051269531,-8.043691635131836,13.956563949584961,0.0,1.5362911224365234,-1.479891300201416,1.393714427947998,0.0,0.0,0.0,0.0,0.0,5.083017826080322,-14.347451210021973,-0.7283778190612793,0.4994526505470276,0.17026343941688538,0.07769594341516495,24.43504524230957,89.07626342773438,26.864627838134766,-17.66759490966797,-0.40092700719833374,24.042827606201172,19.15719223022461,-0.42872780561447144,24.050039291381836,10.745987892150879,-5.900064468383789,1.429728627204895,0.5054702758789062,0.026041284203529358,0.5984241962432861,-0.560580849647522,0.2799728512763977,0.038785938173532486,1.2494165897369385,-2.7892098426818848,0.6891303062438965,-0.08985105901956558,-2.2302167415618896,3.039557933807373,-0.09980357438325882,0.8449997305870056,2.594705820083618
10,0.9433578252792358,0.1315833330154419,-11.054725646972656,0.0,7.750209808349609,-8.625236511230469,13.470394134521484,0.0,0.8161623477935791,-1.4054100513458252,1.4159862995147705,0.0,0.0,0.0,0.0,0.0,2.673675775527954,-6.406076431274414,-0.15876953303813934,0.21538518369197845,0.07447493821382523,0.04424960911273956,19.293088912963867,38.70060729980469,18.58049964904785,-7.288497447967529,1.0144990682601929,10.898980140686035,9.758243560791016,1.3236945867538452,11.36982536315918,6.993194580078125,-2.3578968048095703,0.6973136067390442,0.554770827293396,0.04422302544116974,0.2767432928085327,-0.5433073043823242,0.3736414611339569,0.09994936734437943,1.1021437644958496,-2.745331287384033,0.9555795192718506,-0.20240135490894318,-2.2675559520721436,3.016167402267456,-0.685544490814209,0.9744898676872253,2.585432767868042
15,2.601621627807617,-1.1319386959075928,-12.90805721282959,0.0,4.822310447692871,-7.734051704406738,14.455645561218262,0.0,0.4427359104156494,-1.163438320159912,1.581404685974121,0.0,0.0,0.0,0.0,0.0,1.5494259595870972,-3.9430105686187744,0.196596160531044,0.1303037852048874,0.04143821448087692,0.059407252818346024,17.391162872314453,19.082061767578125,12.111639976501465,-2.87967848777771,2.7636218070983887,6.987954139709473,6.678661346435547,2.753906488418579,6.874497890472412,4.574199199676514,-0.7106977701187134,0.44531774520874023,0.4594198763370514,0.05899070203304291,0.3337864279747009,-0.5236883163452148,0.3963399827480316,0.13983294367790222,0.5852181315422058,-2.6974949836730957,0.9148402810096741,-0.31449180841445923,-2.1075901985168457,2.972835063934326,-0.9142220616340637,1.1038742065429688,2.5886127948760986
20,3.250735282897949,-2.3683922290802,-14.745161056518555,0.0,3.2523117065429688,-5.914435386657715,16.343036651611328,0.0,0.3241541087627411,-0.8422294855117798,1.8285107612609863,0.0,0.0,0.0,0.0,0.0,1.0666122436523438,-3.123873710632324,0.31884488463401794,0.1031777635216713,0.031079038977622986,0.0736168920993805,16.068790435791016,14.136007308959961,8.126143455505371,-2.066288471221924,3.393794536590576,5.18418550491333,4.76576042175293,3.3624768257141113,4.90039587020874,2.8877644538879395,-0.3710283637046814,0.27694541215896606,0.16323977708816528,0.07767652720212936,0.3808255195617676,-0.5044393539428711,0.37247827649116516,0.15808093547821045,0.25071731209754944,-2.6578824520111084,0.7079687118530273,-0.3980352580547333,-1.4202792644500732,2.931736707687378,-0.7466039657592773,1.2335376739501953,2.5929172039031982
25,3.566065549850464,-3.0931854248046875,-16.02147102355957,0.0,1.6839985847473145,-3.7554736137390137,18.541507720947266,0.0,0.13390733301639557,-0.4989742040634155,2.115896463394165,0.0,0.0,0.0,0.0,0.0,0.5375782251358032,-1.9457929134368896,0.4956310987472534,0.06530790776014328,0.015877706930041313,0.03492354229092598,14.009634971618652,8.782113075256348,4.260615348815918,-1.3529306650161743,3.6654305458068848,3.138314962387085,2.7756965160369873,3.5906293392181396,2.899597644805908,1.431464672088623,-0.1956491470336914,0.10063554346561432,0.0601840615272522,0.09544330090284348,0.32889190316200256,-0.48714789748191833,0.3266296982765198,0.16551713645458221,0.09815505146980286,-2.6286466121673584,0.5057781338691711,-0.45230793952941895,-0.8728250861167908,2.9005634784698486,-0.537792444229126,1.3451497554779053,1.8916734457015991
30,3.662931203842163,-3.436994791030884,-16.83998680114746,0.0,0.5871506333351135,-2.075226068496704,20.237701416015625,0.0,-0.02440974861383438,-0.23461830615997314,2.3445959091186523,0.0,0.0,0.0,0.0,0.0,0.24779704213142395,-1.1294034719467163,0.6176928281784058,0.0378459095954895,0.008624929934740067,0.020680470392107964,12.212869644165039,4.620883464813232,1.6416099071502686,-0.7631974816322327,3.7226293087005615,1.5378361940383911,1.2765511274337769,3.67069935798645,1.359688401222229,0.4203290343284607,-0.09867508709430695,-0.04878975450992584,0.04265442118048668,0.1091800108551979,0.2380184680223465,-0.4722805619239807,0.27855929732322693,0.16812801361083984,0.027549415826797485,-2.608325481414795,0.3470692038536072,-0.48509612679481506,-0.5404859185218811,2.879671096801758,-0.34453755617141724,1.4184011220932007,1.22088623046875
35,3.694960832595825,-3.5869762897491455,-17.390804290771484,0.0,-0.13443200290203094,-0.8846034407615662,21.425642013549805,0.0,-0.1381353884935379,-0.040308475494384766,2.5161240100860596,0.0,0.0,0.0,0.0,0.0,0.0995263159275055,-0.5620999336242676,0.7040274143218994,0.018697818741202354,0.00569895887747407,0.012955999933183193,10.927833557128906,1.5517632961273193,-0.06404042989015579,-0.2947544753551483,3.7284770011901855,0.3988124430179596,0.21672075986862183,3.6958529949188232,0.24897980690002441,-0.24233661592006683,-0.04470899701118469,-0.15559706091880798,0.030526872724294662,0.11856129765510559,0.15647779405117035,-0.4595755636692047,0.2391892820596695,0.16820096969604492,-0.013436631299555302,-2.594489574432373,0.23534761369228363,-0.5066035389900208,-0.3714369535446167,2.8669745922088623,-0.1998927742242813,1.466408133506775,0.8106533885002136
40,3.6943459510803223,-3.644779920578003,-17.791431427001953,0.0,-0.5956990718841553,-0.08537131547927856,22.208314895629883,0.0,-0.2155730277299881,0.09520979970693588,2.636512041091919,0.0,0.0,0.0,0.0,0.0,0.025499675422906876,-0.16698652505874634,0.7620586156845093,0.0053699142299592495,0.004739577881991863,0.006888524163514376,10.036050796508789,-0.6001214981079102,-1.163360834121704,0.042882245033979416,3.710315465927124,-0.39437365531921387,-0.5215654373168945,3.691586971282959,-0.5297352075576782,-0.66329026222229,-0.012492204084992409,-0.2277463674545288,0.022160779684782028,0.12443248927593231,0.09385783970355988,-0.4485277235507965,0.2101004719734192,0.1666860580444336,-0.0400918610394001,-2.5851244926452637,0.15926596522331238,-0.5223218202590942,-0.28377532958984375,2.8602325916290283,-0.09613574296236038,1.4987761974334717,0.5517222881317139
45,3.677459955215454,-3.656233072280884,-18.103370666503906,0.0,-0.879481315612793,0.43533724546432495,22.702362060546875,0.0,-0.2670818865299225,0.18831807374954224,2.719041109085083,0.0,0.0,0.0,0.0,0.0,-0.005203589331358671,0.09891058504581451,0.7965378165245056,-0.0035703128669410944,0.004873408004641533,0.0032341976184397936,9.434040069580078,-2.0712974071502686,-1.8584907054901123,0.27584755420684814,3.681234121322632,-0.9437840580940247,-1.0288453102111816,3.6745057106018066,-1.064557433128357,-0.9218534827232361,0.007056023925542831,-0.2759624123573303,0.015418357215821743,0.1276831030845642,0.04768054187297821,-0.4386630654335022,0.18980816006660461,0.16412174701690674,-0.0577668659389019,-2.578765869140625,0.1085478886961937,-0.5349954962730408,-0.2371983379125595,2.857736349105835,-0.022045468911528587,1.521222710609436,0.3877112865447998
50,3.6839823722839355,-3.4397926330566406,-18.164344787597656,0.0,-0.9228569269180298,0.6493033170700073,22.882247924804688,0.0,-0.2606462240219116,0.21191415190696716,2.7338833808898926,0.0,0.0,0.0,0.0,0.0,-0.01818196289241314,0.08875950425863266,0.7923776507377625,-0.003399268025532365,0.0049469973891973495,0.0015638649929314852,9.307414054870605,-2.0048718452453613,-2.0492336750030518,0.2405029684305191,3.6868577003479004,-0.9117476940155029,-1.0102288722991943,3.6753032207489014,-1.0343928337097168,-0.9592947959899902,-0.009079830721020699,-0.2684670388698578,0.011400949209928513,0.12932147085666656,0.026054050773382187,-0.42939236760139465,0.18542726337909698,0.16098196804523468,-0.06550460308790207,-2.5740835666656494,0.08746065944433212,-0.5467147827148438,-0.23790431022644043,2.858097791671753,0.02247464656829834,1.538090467453003,0.31456053256988525
55,3.6441171169281006,-3.178318738937378,-18.182418823242188,0.0,-1.0339187383651733,0.7466208338737488,22.938072204589844,0.0,-0.2804095447063446,0.2210444062948227,2.7345428466796875,0.0,0.0,0.0,0.0,0.0,-0.012485969811677933,0.23580989241600037,0.8015221357345581,-0.008124289102852345,0.006013813428580761,-0.0007583239930681884,8.98206615447998,-2.799410343170166,-2.386143445968628,0.36321452260017395,3.6382675170898438,-1.2339434623718262,-1.2630996704101562,3.6392292976379395,-1.2906537055969238,-1.0432775020599365,-0.0015600845217704773,-0.282245010137558,0.005756088066846132,0.13000458478927612,0.005111894104629755,-0.419910192489624,0.19393707811832428,0.15738962590694427,-0.07618165761232376,-2.5701067447662354,0.07535471767187119,-0.5588364601135254,-0.2472793608903885,2.860366106033325,0.061278846114873886,1.5525842905044556,0.27090466022491455
60,3.6176578998565674,-2.959803342819214,-18.26131820678711,0.0,-1.0466203689575195,0.7714447975158691,22.912029266357422,0.0,-0.2827259302139282,0.2203672230243683,2.7253947257995605,0.0,0.0,0.0,0.0,0.0,-0.005058118607848883,0.2720620930194855,0.7975044846534729,-0.009207100607454777,0.006657133344560862,-0.001808129483833909,8.865161895751953,-2.944646120071411,-2.5198025703430176,0.3722941279411316,3.6072347164154053,-1.324623703956604,-1.3283228874206543,3.6113109588623047,-1.3443728685379028,-1.0403250455856323,0.0001128949224948883,-0.2811647653579712,0.005038212053477764,0.1296379417181015,-0.015438796952366829,-0.40967312455177307,0.21336865425109863,0.15328319370746613,-0.08582445979118347,-2.566474437713623,0.07210149616003036,-0.5718604922294617,-0.27124857902526855,2.8646440505981445,0.1015130952000618,1.565136194229126,0.2406805008649826
65,3.588254928588867,-2.70601224899292,-18.338699340820312,0.0,-1.0020476579666138,0.7232620716094971,22.80173110961914,0.0,-0.2710985839366913,0.20385433733463287,2.6996591091156006,0.0,0.0,0.0,0.0,0.0,0.005647380370646715,0.25681570172309875,0.7856268286705017,-0.00853426568210125,0.007213783450424671,-0.0023772595450282097,8.852046012878418,-2.7903635501861572,-2.552936553955078,0.3291359841823578,3.574916362762451,-1.302870273590088,-1.292150855064392,3.583376407623291,-1.2883214950561523,-0.9919031262397766,-0.005677684210240841,-0.2687107026576996,0.0026003236416727304,0.12828107178211212,-0.034929465502500534,-0.3981347382068634,0.24396143853664398,0.14875800907611847,-0.09333692491054535,-2.562713146209717,0.07854680716991425,-0.5865238308906555,-0.31007853150367737,2.870821714401245,0.13828487694263458,1.5773370265960693,0.24396587908267975
70,3.5631465911865234,-2.366326332092285,-18.381507873535156,0.0,-0.9341409206390381,0.6208166480064392,22.623476028442383,0.0,-0.2569664418697357,0.17685231566429138,2.6618528366088867,0.0,0.0,0.0,0.0,0.0,0.015646670013666153,0.2029959261417389,0.769156813621521,-0.006597049999982119,0.0075955321080982685,-0.0006923048640601337,8.892404556274414,-2.4483819007873535,-2.559953212738037,0.2525193989276886,3.547579526901245,-1.218853235244751,-1.1957429647445679,3.5585124492645264,-1.166508436203003,-0.919894278049469,-0.013479504734277725,-0.2539497911930084,0.0009121092152781785,0.1259240359067917,-0.055620089173316956,-0.3846728503704071,0.28818023204803467,0.14392347633838654,-0.09858769923448563,-2.5583386421203613,0.09496957063674927,-0.6036445498466492,-0.3666660487651825,2.878872871398926,0.17645420134067535,1.5902159214019775,0.2712685465812683
75,3.536135673522949,-1.8725025653839111,-18.344215393066406,0.0,-0.8523224592208862,0.4663451910018921,22.37534523010254,0.0,-0.23840674757957458,0.13822521269321442,2.609820604324341,0.0,0.0,0.0,0.0,0.0,0.02494402416050434,0.13972978293895721,0.7490203976631165,-0.004253463353961706,0.00796687975525856,-0.001523463986814022,8.955427169799805,-1.9900577068328857,-2.582138776779175,0.15067413449287415,3.5181236267089844,-1.0919491052627563,-1.0642460584640503,3.5329065322875977,-1.0054619312286377,-0.8368393778800964,-0.02242044359445572,-0.2369292676448822,0.00047242961591109633,0.12241704016923904,-0.08080277591943741,-0.3684656023979187,0.3511081337928772,0.13891424238681793,-0.10071723163127899,-2.552774667739868,0.12403319776058197,-0.6242833137512207,-0.4475953280925751,2.888890266418457,0.2176118791103363,1.6052709817886353,0.3210963010787964
80,3.507906436920166,-1.1106698513031006,-18.14557456970215,0.0,-0.7615840435028076,0.24633949995040894,22.03741455078125,0.0,-0.22205966711044312,0.0764920562505722,2.5306448936462402,0.0,0.0,0.0,0.0,0.0,0.02197331190109253,0.07515770196914673,0.7358530759811401,-0.0020598298870027065,0.007520636543631554,-0.001515492214821279,9.036544799804688,-1.4684098958969116,-2.6496667861938477,0.03673502430319786,3.486813545227051,-0.9444370865821838,-0.917919397354126,3.4986624717712402,-0.8265128135681152,-0.739639163017273,-0.031269412487745285,-0.21741220355033875,0.0012939724838361144,0.11736781895160675,-0.116364024579525,-0.34832683205604553,0.4417378008365631,0.13395272195339203,-0.09718212485313416,-2.545243740081787,0.17132540047168732,-0.6500044465065002,-0.5650535821914673,2.9011738300323486,0.26534438133239746,1.6237683296203613,0.40498897433280945
85,3.470381021499634,0.022919654846191406,-17.730928421020508,0.0,-0.6203406453132629,-0.034663617610931396,21.60413360595703,0.0,-0.18667779862880707,-0.003944829106330872,2.4263105392456055,0.0,0.0,0.0,0.0,0.0,0.030362354591488838,-0.07231585681438446,0.7044704556465149,0.00312466430477798,0.007701694034039974,0.0003829631023108959,9.20459270477295,-0.5907965302467346,-2.7523107528686523,-0.13904736936092377,3.4454710483551025,-0.6564397811889648,-0.2874909043312073,3.4610865116119385,-0.13709422945976257,-0.487562358379364,-0.07833600044250488,-0.14147058129310608,-0.0006671882001683116,0.10998279601335526,-0.17133283615112305,-0.322430282831192,0.5760176181793213,0.1295073926448822,-0.08061196655035019,-2.534498929977417,0.24975278973579407,-0.6833236217498779,-0.7456752061843872,2.916184663772583,0.32437703013420105,1.6484161615371704,0.5606082081794739
90,3.4468183517456055,0.03467154502868652,-18.648582458496094,0.0,-0.45066124200820923,-0.04482376575469971,21.39946937561035,0.0,-0.14940690994262695,-0.0056018829345703125,2.389594078063965,0.0,0.0,0.0,0.0,0.0,0.015877580270171165,-0.27210649847984314,0.6843783855438232,0.009771764278411865,0.006613024044781923,0.0024019561242312193,9.458046913146973,0.641563355922699,-2.955470561981201,-0.36837083101272583,3.4209887981414795,-0.2005634754896164,-0.2703712582588196,3.431055784225464,-0.10572712123394012,-0.45311439037323,-0.07958704233169556,-0.15525370836257935,-0.0004879271436948329,0.09982520341873169,-0.22645902633666992,-0.28876352310180664,0.7379366159439087,0.12685978412628174,-0.030607303604483604,-2.5184218883514404,0.37196654081344604,-0.7280606031417847,-0.9951126575469971,2.9334845542907715,0.3540665805339813,1.6836217641830444,0.80267733335495
95,3.3595614433288574,0.03964877128601074,-19.784456253051758,0.0,-0.4443128705024719,-0.050469934940338135,21.15938949584961,0.0,-0.1768687516450882,-0.006979331374168396,2.339547634124756,0.0,0.0,0.0,0.0,0.0,0.021737879142165184,-0.11730854213237762,0.6912400722503662,0.004477038513869047,0.007028546649962664,0.0014372660079970956,9.218100547790527,-0.42808523774147034,-3.5612378120422363,-0.1906810849905014,3.3182132244110107,-0.5712529420852661,-0.627913236618042,3.343083381652832,-0.48350653052330017,-0.4373253285884857,-0.0610879622399807,-0.18064506351947784,-0.0005611864617094398,0.08601190894842148,-0.31491804122924805,-0.2471783310174942,0.8931347131729126,0.12752313911914825,0.04612555354833603,-2.495868682861328,0.5050199031829834,-0.7852662801742554,-1.2435060739517212,2.9514660835266113,0.3621830940246582,1.7308180332183838,1.0401012897491455
100,3.275674819946289,0.04319310188293457,-21.115055084228516,0.0,-0.37205222249031067,-0.053791344165802,20.885574340820312,0.0,-0.18631142377853394,-0.008743345737457275,2.27455735206604,0.0,0.0,0.0,0.0,0.0,0.026249898597598076,-0.044313810765743256,0.6875956654548645,0.0019927232060581446,0.0073087820783257484,0.0002993880771100521,9.084174156188965,-1.3234338760375977,-4.104832649230957,-0.003881511278450489,3.2255821228027344,-0.7692669630050659,-0.7919155955314636,3.260575771331787,-0.6784939169883728,-0.3525394797325134,-0.05669781565666199,-0.1871289610862732,0.0005305436789058149,0.06670642644166946,-0.43660444021224976,-0.19803360104560852,1.042189121246338,0.13286609947681427,0.15102432668209076,-2.466264009475708,0.6529552936553955,-0.8551844954490662,-1.5047513246536255,2.969431161880493,0.35350894927978516,1.7898541688919067,1.2770634889602661
105,3.218444585800171,0.039466142654418945,-22.633041381835938,0.0,-0.2729041576385498,-0.048681020736694336,20.592443466186523,0.0,-0.18894854187965393,-0.007614597678184509,2.195685863494873,0.0,0.0,0.0,0.0,0.0,0.026589082553982735,-0.03384130448102951,0.684731662273407,0.0015852208016440272,0.007391792256385088,0.00025517476024106145,9.00927448272705,-2.0981760025024414,-4.682431697845459,0.21164967119693756,3.1758999824523926,-0.8114535212516785,-0.8321607708930969,3.213409662246704,-0.7713491916656494,-0.25984418392181396,-0.057069458067417145,-0.19222763180732727,0.0002100519632222131,0.04102218523621559,-0.5624138712882996,-0.14151935279369354,1.188959002494812,0.1440822184085846,0.27355071902275085,-2.4285576343536377,0.82513427734375,-0.9389694333076477,-1.7932798862457275,2.9858925342559814,0.3063053488731384,1.86156165599823,1.5423189401626587
110,3.2395060062408447,0.040058135986328125,-24.32551383972168,0.0,-0.23231253027915955,-0.0455949604511261,20.282827377319336,0.0,-0.20172281563282013,-0.009239062666893005,2.094961166381836,0.0,0.0,0.0,0.0,0.0,0.02849273383617401,0.0013731311773881316,0.7053266167640686,0.0002829112927429378,0.007795603014528751,1.2293200597923715e-05,8.868720054626465,-2.858794689178467,-5.536517143249512,0.44273898005485535,3.2353720664978027,-0.8247671127319336,-0.7967463135719299,3.2639803886413574,-0.8193807601928711,-0.23803526163101196,-0.04362112283706665,-0.20512866973876953,0.0010617742082104087,0.010418484918773174,-0.6316171288490295,-0.07767094671726227,1.3358949422836304,0.1607547551393509,0.3635762929916382,-2.381537675857544,1.0195883512496948,-1.037528395652771,-2.0870203971862793,2.9983937740325928,0.20580169558525085,1.9465446472167969,1.8022396564483643
115,3.4446675777435303,0.07581949234008789,-26.190176010131836,0.0,-0.33845603466033936,-0.0689157247543335,19.94793701171875,0.0,-0.2235506922006607,-0.012119248509407043,1.974656581878662,0.0,0.0,0.0,0.0,0.0,0.038865525275468826,0.020958224311470985,0.769591748714447,-0.00039518254925496876,0.009032150730490685,6.253859464777634e-05,8.54378604888916,-2.293140172958374,-7.0362653732299805,0.3250330090522766,3.5119175910949707,-0.6024459600448608,-0.5310670137405396,3.508028507232666,-0.6623011231422424,-0.38063719868659973,-0.007492476142942905,-0.22845757007598877,0.00010076422768179327,-0.0194637943059206,-0.5493124723434448,-0.006393054965883493,1.485722303390503,0.17863982915878296,0.33170056343078613,-2.324450731277466,1.2227966785430908,-1.1490015983581543,-2.3062658309936523,3.004549741744995,0.06553005427122116,2.042970895767212,1.9948503971099854
120,3.812046527862549,0.14974689483642578,-28.285037994384766,0.0,-0.6152637600898743,-0.1314355731010437,19.58806037902832,0.0,-0.24979650974273682,-0.012352615594863892,1.8463443517684937,0.0,0.0,0.0,0.0,0.0,0.059414930641651154,0.02468613162636757,0.8648054599761963,-0.00014612260565627366,0.010722236707806587,-8.191941742552444e-05,7.790915489196777,0.06778386980295181,-9.202531814575195,-0.351186066865921,3.9350333213806152,-0.19028590619564056,-0.09904652833938599,3.889458417892456,-0.3551420569419861,-0.6786644458770752,0.048354603350162506,-0.2537761330604553,0.00089441699674353,-0.039618924260139465,-0.2866443693637848,0.07239856570959091,1.6353610754013062,0.18986408412456512,0.13391152024269104,-2.2575161457061768,1.4132477045059204,-1.2659165859222412,-2.326428174972534,3.003950834274292,-0.055885862559080124,2.1438210010528564,2.002263307571411
125,4.173923492431641,0.18313074111938477,-30.72455406188965,0.0,-0.917272686958313,-0.1766892671585083,19.269058227539062,0.0,-0.2653190791606903,-0.006132394075393677,1.7283620834350586,0.0,0.0,0.0,0.0,0.0,0.060426097363233566,0.0007312360685318708,0.9355721473693848,0.001098428969271481,0.010861617513000965,-0.00012142126070102677,6.6536970138549805,2.7751779556274414,-11.305777549743652,-1.1753478050231934,4.293357849121094,0.2303556203842163,0.2978912889957428,4.235933780670166,-0.08903881907463074,-0.9677945375442505,0.08741600066423416,-0.26698797941207886,0.0011133867083117366,-0.044226765632629395,0.03369297459721565,0.15848109126091003,1.7780851125717163,0.18843896687030792,-0.13644936680793762,-2.1816189289093018,1.5864458084106445,-1.3763740062713623,-2.1017820835113525,2.9995179176330566,-0.09863387793302536,2.238647937774658,1.8005000352859497
135,3.900416612625122,-0.09180426597595215,-33.01496887207031,0.0,-0.7807466983795166,0.08669716119766235,19.32872200012207,0.0,-0.4541477560997009,0.07894039154052734,1.7378408908843994,0.0,0.0,0.0,0.0,0.0,-0.17928174138069153,0.8440565466880798,0.8742799162864685,-0.02851272188127041,0.002462242729961872,-0.007811532821506262,8.315838813781738,-4.488945484161377,-6.177417755126953,-0.41348493099212646,3.9779555797576904,-2.914411783218384,-2.2308051586151123,3.795952796936035,-2.4034504890441895,-0.5927519798278809,-0.12147665023803711,-0.3620509207248688,0.0003586334642022848,-0.05880272015929222,-0.04294337332248688,0.23454074561595917,0.013853620737791061,0.20448872447013855,0.022219516336917877,-2.1111843585968018,-0.014163666404783726,-1.4627530574798584,0.10205443203449249,3.009869337081909,-0.20679272711277008,2.3121461868286133,-0.11095646768808365
140,4.063324451446533,-3.1842236518859863,-36.128597259521484,0.0,-1.1475844383239746,1.1051112413406372,20.346349716186523,0.0,-0.5939058065414429,0.7164100408554077,2.3765387535095215,0.0,5.172946929931641,-0.05160867050290108,-5.194921970367432,7.331388473510742,-0.7348583340644836,-0.2771620452404022,7.338398456573486,-0.029402367770671844,-0.00956327747553587,0.0013441037153825164,6.7755231857299805,0.9777581691741943,-7.006904602050781,-1.148982048034668,4.082909107208252,-0.5265505313873291,-3.549036741256714,4.258014678955078,-3.7247111797332764,-1.4052352905273438,-0.09331255406141281,-0.9504958987236023,-0.0003503843618091196,-0.05836057290434837,0.012390144169330597,0.23487605154514313,-0.00534453708678484,0.20308609306812286,-0.01988334394991398,-2.111154317855835,-0.00878940150141716,-1.461435317993164,0.046048663556575775,3.0090041160583496,-0.005136544816195965,2.3115994930267334,-0.04228830337524414
145,4.051780700683594,-4.185321807861328,-37.13792419433594,0.0,-1.148072361946106,1.197593092918396,20.43817138671875,0.0,-0.6196470260620117,0.6325588226318359,2.296220541000366,0.0,7.185051441192627,-0.010734029114246368,-7.197433948516846,10.169962882995605,-0.5344408750534058,-0.5597785711288452,10.159435272216797,0.2126530259847641,0.04480677843093872,0.0030069854110479355,6.515458106994629,1.7438468933105469,-7.371528148651123,-1.3223326206207275,4.05431604385376,-0.24138465523719788,-0.3606376349925995,4.10715389251709,-0.6613909006118774,-1.1687238216400146,-0.031686097383499146,-0.6222501397132874,0.001587091595865786,-0.0572497695684433,0.009256839752197266,0.2347402721643448,-0.008526502177119255,0.20146498084068298,-0.0038513829931616783,-2.111473560333252,-0.00757460156455636,-1.459411382675171,0.025723755359649658,3.0098888874053955,-0.0384940505027771,2.309441328048706,-0.02414482645690441
150,4.090587139129639,-4.031544208526611,-36.99027633666992,0.0,-1.1770129203796387,1.1418027877807617,20.38511085510254,0.0,-0.6239673495292664,0.6189962029457092,2.2849032878875732,0.0,6.915154933929443,-0.05352524295449257,-6.948904991149902,9.803545951843262,-0.5369029641151428,-1.5775774717330933,9.809916496276855,0.07672784477472305,0.04295177385210991,-0.003051378997042775,6.520463943481445,1.5626682043075562,-7.422710418701172,-1.2722119092941284,4.099484443664551,-0.2519678771495819,-1.6332333087921143,4.123921871185303,-1.8758106231689453,-1.2589771747589111,-0.08078937232494354,-0.7448925375938416,-0.00039046129677444696,-0.056203000247478485,0.026444248855113983,0.23465603590011597,-0.006803542375564575,0.20074014365673065,-0.023578694090247154,-2.1116344928741455,-0.007971689105033875,-1.4573404788970947,0.04644294083118439,3.0094292163848877,-0.019759787246584892,2.307767152786255,-0.03564903885126114
