step,contact_force_x,contact_force_y,contact_force_z,contact_force_magnitude,fs_force_x_raw,fs_force_y_raw,fs_force_z_raw,fs_torque_x_raw,fs_torque_y_raw,fs_torque_z_raw,fs_force_x_raw2,fs_force_y_raw2,fs_force_z_raw2,fs_torque_x_raw2,fs_torque_y_raw2,fs_torque_z_raw2,link_data[joint2_force_x_raw],link_data[joint2_force_y_raw],link_data[joint2_force_z_raw],link_data[joint2_torque_x_raw],link_data[joint2_torque_y_raw],link_data[joint2_torque_z_raw],act_tor_j1,act_tor_j2,act_tor_j3,act_tor_j4,act_tor_j5,act_tor_j6,act_tor_j7,osc_torque_j1,osc_torque_j2,osc_torque_j3,osc_torque_j4,osc_torque_j5,osc_torque_j6,osc_torque_j7,joint_pos_j1,joint_vel_j1,joint_pos_j2,joint_vel_j2,joint_pos_j3,joint_vel_j3,joint_pos_j4,joint_vel_j4,joint_pos_j5,joint_vel_j5,joint_pos_j6,joint_vel_j6,joint_pos_j7,joint_vel_j7
5,0.0,0.0,0.0,0.0,9.587098121643066,-14.142143249511719,-2.9663708209991455,0.4737083911895752,0.4302654266357422,0.0948023647069931,-0.008563759736716747,-0.01155229564756155,0.0008721324848011136,0.0014202570309862494,-0.0010782921453937888,-0.0003271863970439881,28.64203643798828,117.52116394042969,33.444644927978516,-26.263235092163086,-3.807274580001831,22.536457061767578,22.54042625427246,-3.6723902225494385,33.63922119140625,15.503626823425293,-9.017647743225098,3.7432310581207275,0.3829953670501709,"tensor(19.4642, device='cuda:0')","tensor(0.4081, device='cuda:0')","tensor(27.5768, device='cuda:0')","tensor(8.8283, device='cuda:0')","tensor(-7.2030, device='cuda:0')","tensor(0.6467, device='cuda:0')","tensor(0.4578, device='cuda:0')",0.041557662189006805,1.1239666938781738,-0.5536018013954163,0.25467365980148315,0.02590840682387352,0.5918965935707092,-2.788525342941284,0.621257483959198,-0.08081870526075363,-2.2821638584136963,3.0514512062072754,0.27539733052253723,0.83794105052948,2.594585657119751
10,0.0,0.0,0.0,0.0,6.351815223693848,-8.319089889526367,-1.8152351379394531,0.27430111169815063,0.26453810930252075,0.07558949291706085,-0.006473842076957226,-0.00796837080270052,0.0006809758488088846,0.0009789176983758807,-0.0008151804795488715,-0.00023079030506778508,24.565185546875,74.3206558227539,27.904447555541992,-16.79623794555664,-2.424056053161621,13.1354398727417,13.13737964630127,-2.2204926013946533,20.485389709472656,12.706936836242676,-5.268911361694336,2.5239293575286865,0.45482438802719116,"tensor(11.7693, device='cuda:0')","tensor(0.9554, device='cuda:0')","tensor(16.9500, device='cuda:0')","tensor(7.3618, device='cuda:0')","tensor(-4.1422, device='cuda:0')","tensor(0.5060, device='cuda:0')","tensor(0.4851, device='cuda:0')",0.09075865894556046,0.9046264290809631,-0.5460954308509827,-0.05506949871778488,0.0500825010240078,0.39041873812675476,-2.7506320476531982,0.7592825889587402,-0.19829818606376648,-2.329686164855957,3.0305216312408447,-0.6238606572151184,0.9655584096908569,2.579354763031006
15,0.0,0.0,0.0,0.0,1.3387048244476318,-4.382141590118408,0.25588884949684143,0.1351194977760315,0.02412457950413227,0.03154061734676361,-0.004021480213850737,-0.00133644905872643,0.0006201006472110748,0.00015929352957755327,-0.000511127058416605,-6.574761937372386e-05,17.411056518554688,31.573631286621094,13.040462493896484,-7.029736518859863,2.083624839782715,7.739622116088867,7.739799976348877,2.0706706047058105,10.303970336914062,4.943525791168213,-2.0525736808776855,0.3587346076965332,0.48552483320236206,"tensor(7.3904, device='cuda:0')","tensor(2.4907, device='cuda:0')","tensor(9.1407, device='cuda:0')","tensor(4.5769, device='cuda:0')","tensor(-1.5381, device='cuda:0')","tensor(0.3174, device='cuda:0')","tensor(0.4882, device='cuda:0')",0.129166841506958,0.5309390425682068,-0.5402345657348633,0.1906406730413437,0.06650498509407043,0.4226849675178528,-2.7077598571777344,0.870406448841095,-0.3157123327255249,-2.328057050704956,2.984126567840576,-1.0384386777877808,1.0941699743270874,2.580615282058716
20,0.0,0.0,0.0,0.0,1.8233054876327515,-3.8515100479125977,0.05657395347952843,0.12568676471710205,0.06094536557793617,0.07868754863739014,-0.004531401209533215,0.0009515402489341795,0.0008655497222207487,-0.00012623670045286417,-0.0005793420132249594,-2.2000933313393034e-05,19.653738021850586,21.466917037963867,12.485696792602539,-3.9883952140808105,3.0382022857666016,6.823363780975342,6.8226728439331055,2.898376703262329,7.742251396179199,4.809921741485596,-0.5568008422851562,0.638546884059906,0.3940716087818146,"tensor(5.9816, device='cuda:0')","tensor(3.5253, device='cuda:0')","tensor(6.6402, device='cuda:0')","tensor(3.3339, device='cuda:0')","tensor(-0.3858, device='cuda:0')","tensor(0.2772, device='cuda:0')","tensor(0.3310, device='cuda:0')",0.16152304410934448,0.6352313756942749,-0.5312396883964539,0.17042194306850433,0.07232610881328583,0.059584733098745346,-2.6681880950927734,0.7260839939117432,-0.42840391397476196,-1.9560776948928833,2.927260160446167,-1.1105320453643799,1.2232589721679688,2.595827341079712
25,0.0,0.0,0.0,0.0,1.3560142517089844,-2.8163273334503174,0.15540528297424316,0.09624034911394119,0.048104505985975266,0.053120750933885574,-0.004091965965926647,0.0011576402466744184,0.000791386526543647,-0.00015086667553987354,-0.000523263297509402,-1.2937962310388684e-05,18.209646224975586,13.85463809967041,9.017206192016602,-2.374955892562866,3.5520012378692627,4.768649578094482,4.768852233886719,3.432265520095825,5.165527820587158,3.3954901695251465,-0.16610002517700195,0.5148528814315796,0.10370863974094391,"tensor(3.7715, device='cuda:0')","tensor(3.8442, device='cuda:0')","tensor(4.0911, device='cuda:0')","tensor(1.8994, device='cuda:0')","tensor(-0.1171, device='cuda:0')","tensor(0.1628, device='cuda:0')","tensor(0.0859, device='cuda:0')",0.1916157454252243,0.5376405715942383,-0.5269690155982971,0.07690589874982834,0.07293066382408142,0.028479598462581635,-2.6392996311187744,0.5023202896118164,-0.4983924925327301,-1.0235028266906738,2.87420916557312,-0.9413380026817322,1.3456916809082031,2.1935999393463135
30,0.0,0.0,0.0,0.0,0.5259807705879211,-1.6255742311477661,0.48299089074134827,0.0563226081430912,0.01549440249800682,0.028809603303670883,-0.0032047347631305456,0.0008468415471725166,0.0006108527886681259,-0.00011055508366553113,-0.00040966662345454097,-1.0908242074947339e-05,14.689370155334473,7.46307897567749,4.205618381500244,-1.2803934812545776,3.8822720050811768,2.5644142627716064,2.5645718574523926,3.807966947555542,2.7645161151885986,1.3552484512329102,-0.020485930144786835,0.13014541566371918,0.05659202113747597,"tensor(1.8753, device='cuda:0')","tensor(3.8590, device='cuda:0')","tensor(2.0647, device='cuda:0')","tensor(0.6826, device='cuda:0')","tensor(-0.0324, device='cuda:0')","tensor(-0.0040, device='cuda:0')","tensor(0.0513, device='cuda:0')",0.21365775167942047,0.37250837683677673,-0.5233718752861023,0.0665052980184555,0.07397443056106567,0.029728783294558525,-2.6198015213012695,0.33029305934906006,-0.5311012864112854,-0.449823796749115,2.8353378772735596,-0.6529362797737122,1.427736520767212,1.3184995651245117
35,0.0,0.0,0.0,0.0,0.9170398712158203,-1.5141791105270386,0.3022165298461914,0.055224232375621796,0.036886848509311676,0.024141980335116386,-0.003161607077345252,0.0006559347966685891,0.000591868010815233,-8.65758556756191e-05,-0.00040378537960350513,-1.4027568795427214e-05,14.96726131439209,5.724945068359375,4.913149356842041,-0.8764013648033142,3.5225913524627686,1.897877812385559,1.896933674812317,3.4744863510131836,2.019984245300293,1.7977166175842285,0.028735432773828506,0.30703336000442505,0.03897183761000633,"tensor(1.0069, device='cuda:0')","tensor(3.8001, device='cuda:0')","tensor(1.0884, device='cuda:0')","tensor(0.3415, device='cuda:0')","tensor(0.0282, device='cuda:0')","tensor(-0.0363, device='cuda:0')","tensor(0.0359, device='cuda:0')",0.22915393114089966,0.2628256678581238,-0.522922694683075,-0.024627313017845154,0.07399800419807434,0.006820862181484699,-2.6083462238311768,0.18353429436683655,-0.5456677079200745,-0.18479107320308685,2.8071930408477783,-0.48216161131858826,1.4764407873153687,0.780727744102478
40,0.0,0.0,0.0,0.0,-0.00044482352677732706,-0.22823375463485718,0.7679402828216553,0.007348766550421715,0.0024948546197265387,0.008833067491650581,-0.0020709491800516844,0.0002774494932964444,0.0003765173605643213,-3.7657238863175735e-05,-0.0002645696804393083,-1.1735291991499253e-05,10.136144638061523,0.00747270043939352,-0.7764188647270203,-0.02676582708954811,3.7945494651794434,-0.15665601193904877,-0.18068856000900269,3.78560209274292,-0.13148561120033264,-0.6654531955718994,0.0007670987397432327,-0.21853606402873993,0.027143990620970726,"tensor(-0.3326, device='cuda:0')","tensor(3.7663, device='cuda:0')","tensor(-0.2917, device='cuda:0')","tensor(-0.7416, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(-0.2302, device='cuda:0')","tensor(0.0242, device='cuda:0')",0.23807762563228607,0.12862563133239746,-0.5190644264221191,0.11979008466005325,0.07428020983934402,-0.0009588324464857578,-2.600034236907959,0.14649595320224762,-0.5520176291465759,-0.11769004166126251,2.7917685508728027,-0.21651917695999146,1.5064605474472046,0.5080046653747559
45,0.0,0.0,0.0,0.0,0.15317091345787048,-0.23563358187675476,0.734424352645874,0.009199565276503563,0.008295255713164806,0.005511080380529165,-0.0021635727025568485,0.00032035858021117747,0.000390875298762694,-4.30298678111285e-05,-0.00027618190506473184,-1.1583913874346763e-05,10.622774124145508,-0.38953837752342224,-0.20436447858810425,0.13795092701911926,3.728123664855957,-0.25659504532814026,-0.25751158595085144,3.718668222427368,-0.30210503935813904,-0.395732581615448,0.05175817012786865,-0.16481544077396393,0.01882375217974186,"tensor(-0.6023, device='cuda:0')","tensor(3.7450, device='cuda:0')","tensor(-0.6446, device='cuda:0')","tensor(-0.7928, device='cuda:0')","tensor(0.0377, device='cuda:0')","tensor(-0.2440, device='cuda:0')","tensor(0.0188, device='cuda:0')",0.24229758977890015,0.06779877841472626,-0.5172292590141296,0.03962622582912445,0.07404851913452148,-0.007911410182714462,-2.596182346343994,0.06823451817035675,-0.5555559396743774,-0.041037339717149734,2.781888723373413,-0.14360515773296356,1.5246614217758179,0.2868380844593048
50,0.0,0.0,0.0,0.0,0.023518187925219536,-0.05908896401524544,0.7939271330833435,0.0022292770445346832,0.00561896339058876,0.002738781739026308,-0.0019791012164205313,0.00022112875012680888,0.0003537825832609087,-3.0374292691703886e-05,-0.000252681813435629,-1.1915312825294677e-05,9.613344192504883,-1.1721060276031494,-1.3816996812820435,0.20769140124320984,3.7572877407073975,-0.5499474406242371,-0.5500034689903259,3.756993055343628,-0.5784987211227417,-0.8728972673416138,0.005254381336271763,-0.23041795194149017,0.013427743688225746,"tensor(-0.7437, device='cuda:0')","tensor(3.7491, device='cuda:0')","tensor(-0.7731, device='cuda:0')","tensor(-1.0196, device='cuda:0')","tensor(0.0051, device='cuda:0')","tensor(-0.2621, device='cuda:0')","tensor(0.0131, device='cuda:0')",0.2439976930618286,0.021178463473916054,-0.5141351222991943,0.0948563888669014,0.07371396571397781,-0.011238952167332172,-2.5934436321258545,0.05777023360133171,-0.557599663734436,-0.055928785353899,2.777503728866577,-0.04208075627684593,1.5362001657485962,0.2114933878183365
