step,shaped_reward
0,0.0
36,0.523
72,1.234
108,1.456
144,2.123
180,2.567
216,3.012
252,3.445
288,3.789
324,4.234
360,4.678
396,5.123
432,5.567
468,6.012
504,6.456
540,6.901
576,7.345
612,7.789
648,8.234
684,8.678
720,9.123
756,9.567
792,10.012
828,10.456
864,10.901
900,11.345
936,11.789
972,12.234
1008,12.678
1044,13.123
1080,13.567
1116,14.012
1152,14.456
1188,14.901
1224,15.345
1260,15.789
1296,16.234
1332,16.678
1368,17.123
1404,17.567
1440,17.901
1476,18.234
1512,18.456
1548,18.678
1584,18.789
